Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Loppersum;24;Loppersum;9537;4-11-2020;2020-11-17;14;146,8;1;10,5;0;0;;WAAR;Loppersum
Losser;168;Losser;22683;4-11-2020;2020-11-17;112;493,8;0;0;1;4,4;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;4-11-2020;2020-11-17;171;683,2;1;4;3;12;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;4-11-2020;2020-11-17;77;321,3;0;0;1;4,2;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;4-11-2020;2020-11-17;148;445,6;4;12;1;3;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;4-11-2020;2020-11-17;355;292;4;3,3;2;1,6;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;4-11-2020;2020-11-17;141;312,6;1;2,2;0;0;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;4-11-2020;2020-11-17;46;244,3;0;0;0;0;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;4-11-2020;2020-11-17;285;351;4;4,9;1;1,2;;WAAR;Meierijstad
Meppel;119;Meppel;33920;4-11-2020;2020-11-17;74;218,2;2;5,9;0;0;;WAAR;Meppel
Middelburg (Z.);687;Middelburg (Z.);48822;4-11-2020;2020-11-17;84;172,1;0;0;3;6,1;;WAAR;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;4-11-2020;2020-11-17;88;455;2;10,3;3;15,5;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;4-11-2020;2020-11-17;86;259,2;1;3;0;0;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;4-11-2020;2020-11-17;65;106,9;4;6,6;1;1,6;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;4-11-2020;2020-11-17;47;429,7;0;0;0;0;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;4-11-2020;2020-11-17;153;412,1;2;5,4;5;13,5;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;4-11-2020;2020-11-17;260;592,1;0;0;2;4,6;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;4-11-2020;2020-11-17;123;341,6;0;0;2;5,6;;WAAR;Montferland
Montfoort;335;Montfoort;13917;4-11-2020;2020-11-17;71;510,2;0;0;0;0;;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;4-11-2020;2020-11-17;25;318,6;0;0;1;12,7;;WAAR;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;4-11-2020;2020-11-17;100;410,9;0;0;0;0;;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;4-11-2020;2020-11-17;66;387,8;3;17,6;1;5,9;;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;4-11-2020;2020-11-17;215;338,8;0;0;0;0;;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;4-11-2020;2020-11-17;118;409,6;2;6,9;1;3,5;;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;4-11-2020;2020-11-17;147;340,5;0;0;2;4,6;;WAAR;Nijkerk
Nijmegen;268;Nijmegen;177659;4-11-2020;2020-11-17;592;333,2;5;2,8;12;6,8;;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;4-11-2020;2020-11-17;488;572,6;3;3,5;2;2,3;;WAAR;Nissewaard
Noardeast-Fryslân;1970;Noardeast-Fryslan;45228;4-11-2020;2020-11-17;84;185,7;1;2,2;0;0;;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;4-11-2020;2020-11-17;12;162,3;0;0;0;0;;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;4-11-2020;2020-11-17;16;51,2;1;3,2;0;0;;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;4-11-2020;2020-11-17;132;279,1;1;2,1;1;2,1;;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;4-11-2020;2020-11-17;139;319,5;6;13,8;1;2,3;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;4-11-2020;2020-11-17;96;410,6;0;0;2;8,6;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;4-11-2020;2020-11-17;75;269,3;0;0;0;0;;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;4-11-2020;2020-11-17;70;281,8;0;0;0;0;;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;4-11-2020;2020-11-17;113;603,8;0;0;5;26,7;;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;4-11-2020;2020-11-17;128;487,7;0;0;0;0;;WAAR;Oisterwijk
Oldambt;1895;Oldambt;38209;4-11-2020;2020-11-17;34;89;0;0;1;2,6;;WAAR;Oldambt
Oldebroek;269;Oldebroek;23646;4-11-2020;2020-11-17;63;266,4;0;0;0;0;;WAAR;Oldebroek
Oldenzaal;173;Oldenzaal;31836;4-11-2020;2020-11-17;163;512;5;15,7;4;12,6;;WAAR;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;4-11-2020;2020-11-17;35;191,8;0;0;0;0;;WAAR;Olst-Wijhe
Ommen;175;Ommen;18009;4-11-2020;2020-11-17;44;244,3;0;0;0;0;;WAAR;Ommen
Oost Gelre;1586;Oost Gelre;29627;4-11-2020;2020-11-17;118;398,3;1;3,4;4;13,5;;WAAR;Oost Gelre
Oosterhout;826;Oosterhout;55982;4-11-2020;2020-11-17;301;537,7;0;0;4;7,1;;WAAR;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;4-11-2020;2020-11-17;62;243,4;1;3,9;0;0;;WAAR;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;4-11-2020;2020-11-17;31;318,4;1;10,3;0;0;;WAAR;Oostzaan
Opmeer;432;Opmeer;11836;4-11-2020;2020-11-17;51;430,9;2;16,9;0;0;;WAAR;Opmeer
Opsterland;86;Opsterland;29733;4-11-2020;2020-11-17;34;114,4;0;0;0;0;;WAAR;Opsterland
Oss;828;Oss;91915;4-11-2020;2020-11-17;446;485,2;6;6,5;3;3,3;;WAAR;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;4-11-2020;2020-11-17;159;403,7;0;0;3;7,6;;WAAR;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;4-11-2020;2020-11-17;58;413,5;0;0;0;0;;WAAR;Ouder-Amstel
Oudewater;589;Oudewater;10230;4-11-2020;2020-11-17;39;381,2;0;0;0;0;;WAAR;Oudewater
Overbetuwe;1734;Overbetuwe;47906;4-11-2020;2020-11-17;146;304,8;1;2,1;1;2,1;;WAAR;Overbetuwe
Papendrecht;590;Papendrecht;32136;4-11-2020;2020-11-17;157;488,5;0;0;4;12,4;;WAAR;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;4-11-2020;2020-11-17;145;333,9;1;2,3;0;0;;WAAR;Peel en Maas
Pekela;765;Pekela;12196;4-11-2020;2020-11-17;12;98,4;0;0;1;8,2;;WAAR;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;4-11-2020;2020-11-17;267;482,8;1;1,8;2;3,6;;WAAR;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;4-11-2020;2020-11-17;245;301,5;1;1,2;4;4,9;;WAAR;Purmerend
Putten;273;Putten;24112;4-11-2020;2020-11-17;106;439,6;0;0;1;4,1;;WAAR;Putten
Raalte;177;Raalte;37712;4-11-2020;2020-11-17;163;432,2;0;0;0;0;;WAAR;Raalte
Reimerswaal;703;Reimerswaal;22730;4-11-2020;2020-11-17;35;154;0;0;0;0;;WAAR;Reimerswaal
Renkum;274;Renkum;31419;4-11-2020;2020-11-17;88;280,1;1;3,2;0;0;;WAAR;Renkum
Renswoude;339;Renswoude;5444;4-11-2020;2020-11-17;14;257,2;0;0;0;0;;WAAR;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;4-11-2020;2020-11-17;72;549,1;0;0;0;0;;WAAR;Reusel-De Mierden
Rheden;275;Rheden;43761;4-11-2020;2020-11-17;178;406,8;2;4,6;3;6,9;;WAAR;Rheden
Rhenen;340;Rhenen;20119;4-11-2020;2020-11-17;73;362,8;1;5;0;0;;WAAR;Rhenen
Ridderkerk;597;Ridderkerk;46189;4-11-2020;2020-11-17;253;547,7;1;2,2;3;6,5;;WAAR;Ridderkerk
Rijssen-Holten;1742;Rijssen-Holten;38177;4-11-2020;2020-11-17;215;563,2;1;2,6;4;10,5;;WAAR;Rijssen-Holten
Rijswijk (ZH.);603;Rijswijk (ZH.);54450;4-11-2020;2020-11-17;216;396,7;5;9,2;6;11;;WAAR;Rijswijk (ZH.)
Roerdalen;1669;Roerdalen;20574;4-11-2020;2020-11-17;59;286,8;1;4,9;1;4,9;;WAAR;Roerdalen
Roermond;957;Roermond;58260;4-11-2020;2020-11-17;213;365,6;1;1,7;1;1,7;;WAAR;Roermond
Roosendaal;1674;Roosendaal;77251;4-11-2020;2020-11-17;467;604,5;4;5,2;5;6,5;;WAAR;Roosendaal
Rotterdam;599;Rotterdam;651157;4-11-2020;2020-11-17;3737;573,9;60;9,2;21;3,2;;WAAR;Rotterdam
Rozendaal;277;Rozendaal;1704;4-11-2020;2020-11-17;4;234,7;0;0;0;0;;WAAR;Rozendaal
Rucphen;840;Rucphen;22878;4-11-2020;2020-11-17;149;651,3;1;4,4;1;4,4;;WAAR;Rucphen
Schagen;441;Schagen;46483;4-11-2020;2020-11-17;165;355;2;4,3;1;2,2;;WAAR;Schagen
Scherpenzeel;279;Scherpenzeel;9880;4-11-2020;2020-11-17;22;222,7;0;0;0;0;;WAAR;Scherpenzeel
Schiedam;606;Schiedam;78730;4-11-2020;2020-11-17;515;654,1;12;15,2;2;2,5;;WAAR;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;4-11-2020;2020-11-17;1;105,6;0;0;0;0;;WAAR;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;4-11-2020;2020-11-17;64;189,1;0;0;1;3;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);518;'s-Gravenhage (gemeente);545838;4-11-2020;2020-11-17;2102;385,1;44;8,1;13;2,4;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;796;'s-Hertogenbosch;155111;4-11-2020;2020-11-17;803;517,7;2;1,3;7;4,5;;WAAR;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;4-11-2020;2020-11-17;30;284,2;1;9,5;0;0;;WAAR;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;4-11-2020;2020-11-17;30;257,2;0;0;0;0;;WAAR;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;4-11-2020;2020-11-17;133;455,4;0;0;1;3,4;;WAAR;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;4-11-2020;2020-11-17;239;258,6;1;1,1;3;3,2;;WAAR;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;4-11-2020;2020-11-17;181;717,7;0;0;2;7,9;;WAAR;Sliedrecht
Sluis;1714;Sluis;23210;4-11-2020;2020-11-17;172;741,1;5;21,5;1;4,3;;WAAR;Sluis
Smallingerland;90;Smallingerland;56150;4-11-2020;2020-11-17;81;144,3;1;1,8;0;0;;WAAR;Smallingerland
Soest;342;Soest;46606;4-11-2020;2020-11-17;158;339;2;4,3;5;10,7;;WAAR;Soest
Someren;847;Someren;19368;4-11-2020;2020-11-17;77;397,6;0;0;1;5,2;;WAAR;Someren
Son en Breugel;848;Son en Breugel;17322;4-11-2020;2020-11-17;60;346,4;0;0;0;0;;WAAR;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;4-11-2020;2020-11-17;127;400,8;1;3,2;0;0;;WAAR;Stadskanaal
Staphorst;180;Staphorst;17145;4-11-2020;2020-11-17;40;233,3;0;0;1;5,8;;WAAR;Staphorst
Stede Broec;532;Stede Broec;21726;4-11-2020;2020-11-17;62;285,4;0;0;0;0;;WAAR;Stede Broec
Steenbergen;851;Steenbergen;24416;4-11-2020;2020-11-17;107;438,2;1;4,1;0;0;;WAAR;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;4-11-2020;2020-11-17;88;199,4;0;0;1;2,3;;WAAR;Steenwijkerland
Stein (L.);971;Stein (L.);25007;4-11-2020;2020-11-17;57;227,9;0;0;0;0;;WAAR;Stein (L.)
Stichtse Vecht;1904;Stichtse Vecht;64931;4-11-2020;2020-11-17;295;454,3;5;7,7;3;4,6;;WAAR;Stichtse Vecht
Súdwest-Fryslân;1900;Sudwest-Fryslan;89987;4-11-2020;2020-11-17;258;286,7;0;0;7;7,8;;WAAR;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;4-11-2020;2020-11-17;238;437,3;1;1,8;0;0;;WAAR;Terneuzen
Terschelling;93;Terschelling;4888;4-11-2020;2020-11-17;0;0;0;0;0;0;;WAAR;Terschelling
Texel;448;Texel;13575;4-11-2020;2020-11-17;17;125,2;0;0;0;0;;WAAR;Texel
Teylingen;1525;Teylingen;37440;4-11-2020;2020-11-17;191;510,1;1;2,7;1;2,7;;WAAR;Teylingen
Tholen;716;Tholen;25757;4-11-2020;2020-11-17;140;543,5;1;3,9;0;0;;WAAR;Tholen
Tiel;281;Tiel;42159;4-11-2020;2020-11-17;174;412,7;4;9,5;6;14,2;;WAAR;Tiel
Tilburg;855;Tilburg;219789;4-11-2020;2020-11-17;1071;487,3;5;2,3;11;5;;WAAR;Tilburg
Tubbergen;183;Tubbergen;21275;4-11-2020;2020-11-17;144;676,9;0;0;1;4,7;;WAAR;Tubbergen
Twenterand;1700;Twenterand;33743;4-11-2020;2020-11-17;220;652;1;3;2;5,9;;WAAR;Twenterand
Tynaarlo;1730;Tynaarlo;33887;4-11-2020;2020-11-17;42;123,9;1;3;4;11,8;;WAAR;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;4-11-2020;2020-11-17;38;118,6;0;0;0;0;;WAAR;Tytsjerksteradiel
Uden;856;Uden;42119;4-11-2020;2020-11-17;112;265,9;0;0;2;4,7;;WAAR;Uden
Uitgeest;450;Uitgeest;13666;4-11-2020;2020-11-17;61;446,4;0;0;0;0;;WAAR;Uitgeest
Uithoorn;451;Uithoorn;29478;4-11-2020;2020-11-17;137;464,8;1;3,4;0;0;;WAAR;Uithoorn
Urk;184;Urk;21031;4-11-2020;2020-11-17;279;1326,6;1;4,8;1;4,8;;WAAR;Urk
Utrecht (gemeente);344;Utrecht (gemeente);357597;4-11-2020;2020-11-17;1457;407,4;17;4,8;12;3,4;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;4-11-2020;2020-11-17;134;270,3;0;0;1;2;;WAAR;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;4-11-2020;2020-11-17;10;99;0;0;0;0;;WAAR;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;4-11-2020;2020-11-17;26;158,9;1;6,1;1;6,1;;WAAR;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;4-11-2020;2020-11-17;106;339,8;0;0;4;12,8;;WAAR;Valkenswaard
Veendam;47;Veendam;27384;4-11-2020;2020-11-17;24;87,6;0;0;0;0;;WAAR;Veendam
Veenendaal;345;Veenendaal;66493;4-11-2020;2020-11-17;311;467,7;2;3;0;0;;WAAR;Veenendaal
Veere;717;Veere;21880;4-11-2020;2020-11-17;40;182,8;0;0;0;0;;WAAR;Veere
Veldhoven;861;Veldhoven;45466;4-11-2020;2020-11-17;223;490,5;0;0;2;4,4;;WAAR;Veldhoven
Velsen;453;Velsen;68648;4-11-2020;2020-11-17;252;367,1;2;2,9;2;2,9;;WAAR;Velsen
Venlo;983;Venlo;101802;4-11-2020;2020-11-17;363;356,6;1;1;3;2,9;;WAAR;Venlo
Venray;984;Venray;43614;4-11-2020;2020-11-17;124;284,3;1;2,3;1;2,3;;WAAR;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;4-11-2020;2020-11-17;329;579,1;1;1,8;1;1,8;;WAAR;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;4-11-2020;2020-11-17;428;583,1;8;10,9;6;8,2;;WAAR;Vlaardingen
Vlieland;96;Vlieland;1155;4-11-2020;2020-11-17;1;86,6;0;0;0;0;;WAAR;Vlieland
Vlissingen;718;Vlissingen;44360;4-11-2020;2020-11-17;102;229,9;0;0;0;0;;WAAR;Vlissingen
Voerendaal;986;Voerendaal;12475;4-11-2020;2020-11-17;31;248,5;0;0;0;0;;WAAR;Voerendaal
Voorschoten;626;Voorschoten;25596;4-11-2020;2020-11-17;87;339,9;0;0;1;3,9;;WAAR;Voorschoten
Voorst;285;Voorst;24552;4-11-2020;2020-11-17;63;256,6;0;0;0;0;;WAAR;Voorst
Vught;865;Vught;26558;4-11-2020;2020-11-17;121;455,6;1;3,8;3;11,3;;WAAR;Vught
Waadhoeke;1949;Waadhoeke;46090;4-11-2020;2020-11-17;50;108,5;1;2,2;0;0;;WAAR;Waadhoeke
Waalre;866;Waalre;17456;4-11-2020;2020-11-17;83;475,5;1;5,7;1;5,7;;WAAR;Waalre
Waalwijk;867;Waalwijk;48637;4-11-2020;2020-11-17;283;581,9;0;0;3;6,2;;WAAR;Waalwijk
Waddinxveen;627;Waddinxveen;29291;4-11-2020;2020-11-17;138;471,1;2;6,8;0;0;;WAAR;Waddinxveen
Wageningen;289;Wageningen;39664;4-11-2020;2020-11-17;107;269,8;0;0;2;5;;WAAR;Wageningen
Wassenaar;629;Wassenaar;26305;4-11-2020;2020-11-17;58;220,5;2;7,6;0;0;;WAAR;Wassenaar
Waterland;852;Waterland;17424;4-11-2020;2020-11-17;80;459,1;1;5,7;1;5,7;;WAAR;Waterland
Weert;988;Weert;50105;4-11-2020;2020-11-17;239;477;5;10;3;6;;WAAR;Weert
Weesp;457;Weesp;19738;4-11-2020;2020-11-17;125;633,3;0;0;1;5,1;;WAAR;Weesp
West Betuwe;1960;West Betuwe;51128;4-11-2020;2020-11-17;243;475,3;4;7,8;3;5,9;;WAAR;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;4-11-2020;2020-11-17;60;310,5;0;0;0;0;;WAAR;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;4-11-2020;2020-11-17;50;79;0;0;2;3,2;;WAAR;Westerkwartier
Westerveld;1701;Westerveld;19460;4-11-2020;2020-11-17;46;236,4;0;0;0;0;;WAAR;Westerveld
Westervoort;293;Westervoort;14971;4-11-2020;2020-11-17;64;427,5;0;0;1;6,7;;WAAR;Westervoort
Westerwolde;1950;Westerwolde;25733;4-11-2020;2020-11-17;40;155,4;0;0;0;0;;WAAR;Westerwolde
Westland;1783;Westland;110375;4-11-2020;2020-11-17;640;579,8;7;6,3;3;2,7;;WAAR;Westland
Weststellingwerf;98;Weststellingwerf;25914;4-11-2020;2020-11-17;49;189,1;1;3,9;1;3,9;;WAAR;Weststellingwerf
Westvoorne;614;Westvoorne;14731;4-11-2020;2020-11-17;36;244,4;0;0;0;0;;WAAR;Westvoorne
Wierden;189;Wierden;24446;4-11-2020;2020-11-17;193;789,5;0;0;0;0;;WAAR;Wierden
Wijchen;296;Wijchen;41110;4-11-2020;2020-11-17;173;420,8;2;4,9;1;2,4;;WAAR;Wijchen
Wijdemeren;1696;Wijdemeren;24358;4-11-2020;2020-11-17;89;365,4;0;0;1;4,1;;WAAR;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;4-11-2020;2020-11-17;82;342,9;0;0;1;4,2;;WAAR;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;4-11-2020;2020-11-17;97;336,2;1;3,5;2;6,9;;WAAR;Winterswijk
Woensdrecht;873;Woensdrecht;21876;4-11-2020;2020-11-17;88;402,3;0;0;4;18,3;;WAAR;Woensdrecht
Woerden;632;Woerden;52299;4-11-2020;2020-11-17;262;501;4;7,6;0;0;;WAAR;Woerden
Wormerland;880;Wormerland;16270;4-11-2020;2020-11-17;62;381,1;2;12,3;0;0;;WAAR;Wormerland
Woudenberg;351;Woudenberg;13362;4-11-2020;2020-11-17;39;291,9;1;7,5;2;15;;WAAR;Woudenberg
Zaanstad;479;Zaanstad;156794;4-11-2020;2020-11-17;816;520,4;10;6,4;7;4,5;;WAAR;Zaanstad
Zaltbommel;297;Zaltbommel;28881;4-11-2020;2020-11-17;229;792,9;2;6,9;0;0;;WAAR;Zaltbommel
Zandvoort;473;Zandvoort;17116;4-11-2020;2020-11-17;51;298;0;0;0;0;;WAAR;Zandvoort
Zeewolde;50;Zeewolde;22653;4-11-2020;2020-11-17;42;185,4;1;4,4;0;0;;WAAR;Zeewolde
Zeist;355;Zeist;64905;4-11-2020;2020-11-17;196;302;1;1,5;2;3,1;;WAAR;Zeist
Zevenaar;299;Zevenaar;43750;4-11-2020;2020-11-17;134;306,3;1;2,3;1;2,3;;WAAR;Zevenaar
Zoetermeer;637;Zoetermeer;125285;4-11-2020;2020-11-17;580;462,9;1;0,8;1;0,8;;WAAR;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;4-11-2020;2020-11-17;38;441,6;0;0;0;0;;WAAR;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;4-11-2020;2020-11-17;194;442,1;2;4,6;0;0;;WAAR;Zuidplas
Zundert;879;Zundert;21829;4-11-2020;2020-11-17;80;366,5;1;4,6;0;0;;WAAR;Zundert
Zutphen;301;Zutphen;47934;4-11-2020;2020-11-17;165;344,2;2;4,2;2;4,2;;WAAR;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;4-11-2020;2020-11-17;41;180,7;0;0;0;0;;WAAR;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;4-11-2020;2020-11-17;286;639,3;0;0;8;17,9;;WAAR;Zwijndrecht
Zwolle;193;Zwolle;128840;4-11-2020;2020-11-17;312;242,2;0;0;7;5,4;;WAAR;Zwolle
