Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;
Aa en Hunze;1;3,9;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;7;22;0;0;0;0;;;WAAR;Aalsmeer
Aalten;15;55,3;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;0;0;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;4;19,8;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;11;43;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;22;20,1;0;0;0;0;;;WAAR;Alkmaar
Almelo;12;16,4;0;0;0;0;;;WAAR;Almelo
Almere;108;51;1;0,5;0;0;;;WAAR;Almere
Alphen aan den Rijn;26;23,2;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;3;29,4;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;14;25;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;37;23,5;0;0;1;0,6;;;WAAR;Amersfoort
Amstelveen;53;57,8;1;1,1;0;0;;;WAAR;Amstelveen
Amsterdam;1116;127,9;12;1,4;2;0,2;;;WAAR;Amsterdam
Apeldoorn;11;6,7;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;60;37,2;0;0;0;0;;;WAAR;Arnhem
Assen;7;10,2;0;0;0;0;;;WAAR;Assen
Asten;2;12;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;6;87,5;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;6;24,1;0;0;0;0;;;WAAR;Baarn
Barendrecht;19;39;0;0;0;0;;;WAAR;Barendrecht
Barneveld;13;22;0;0;0;0;;;WAAR;Barneveld
Beek (L.);4;25,2;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;5;13,9;0;0;0;0;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;2;14,8;0;0;0;0;;;WAAR;Beesel
Berg en Dal;2;5,7;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;7;37,6;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);5;16,8;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;22;32,6;0;0;0;0;;;WAAR;Bergen op Zoom
Berkelland;3;6,9;0;0;0;0;;;WAAR;Berkelland
Bernheze;13;41,6;0;0;0;0;;;WAAR;Bernheze
Best;11;36,7;0;0;0;0;;;WAAR;Best
Beuningen;9;34,8;0;0;0;0;;;WAAR;Beuningen
Beverwijk;13;31,2;0;0;0;0;;;WAAR;Beverwijk
Bladel;5;24,5;0;0;0;0;;;WAAR;Bladel
Blaricum;2;17,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;10;42,4;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;14;40,1;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;1;9,3;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;3;12,9;0;0;0;0;;;WAAR;Borne
Borsele;3;13,2;0;0;1;4,4;;;WAAR;Borsele
Boxmeer;10;34,1;0;0;0;0;;;WAAR;Boxmeer
Boxtel;14;45,5;0;0;0;0;;;WAAR;Boxtel
Breda;87;47,3;1;0,5;0;0;;;WAAR;Breda
Brielle;8;46,3;0;0;0;0;;;WAAR;Brielle
Bronckhorst;2;5,5;0;0;0;0;;;WAAR;Bronckhorst
Brummen;0;0;0;0;0;0;;;WAAR;Brummen
Brunssum;9;32,3;0;0;0;0;;;WAAR;Brunssum
Bunnik;2;13,2;0;0;0;0;;;WAAR;Bunnik
Bunschoten;9;41,2;0;0;0;0;;;WAAR;Bunschoten
Buren;2;7,5;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;29;43,2;0;0;3;4,5;;;WAAR;Capelle aan den IJssel
Castricum;3;8,3;0;0;0;0;;;WAAR;Castricum
Coevorden;2;5,7;0;0;0;0;;;WAAR;Coevorden
Cranendonck;4;18,9;0;0;0;0;;;WAAR;Cranendonck
Cuijk;6;23,9;0;0;0;0;;;WAAR;Cuijk
Culemborg;7;24,2;0;0;0;0;;;WAAR;Culemborg
Dalfsen;6;21;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;1;5,3;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;10;23,2;0;0;0;0;;;WAAR;De Bilt
De Fryske Marren;1;1,9;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;20;45;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;0;0;;;WAAR;De Wolden
Delft;59;57;0;0;0;0;;;WAAR;Delft
Delfzijl;23;93,2;0;0;0;0;;;WAAR;Delfzijl
Den Helder;3;5,3;0;0;0;0;;;WAAR;Den Helder
Deurne;16;49,3;0;0;1;3,1;;;WAAR;Deurne
Deventer;20;19,9;0;0;0;0;;;WAAR;Deventer
Diemen;26;84,5;0;0;1;3,2;;;WAAR;Diemen
Dinkelland;5;18,9;0;0;0;0;;;WAAR;Dinkelland
Doesburg;1;9;0;0;0;0;;;WAAR;Doesburg
Doetinchem;9;15,5;0;0;0;0;;;WAAR;Doetinchem
Dongen;6;22,9;0;0;0;0;;;WAAR;Dongen
Dordrecht;51;42,8;0;0;0;0;;;WAAR;Dordrecht
Drechterland;2;10,1;0;0;0;0;;;WAAR;Drechterland
Drimmelen;3;11;0;0;0;0;;;WAAR;Drimmelen
Dronten;2;4,8;0;0;0;0;;;WAAR;Dronten
Druten;2;10,6;0;0;0;0;;;WAAR;Druten
Duiven;4;15,9;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;2;6,3;0;0;1;3,2;;;WAAR;Echt-Susteren
Edam-Volendam;11;30,4;0;0;0;0;;;WAAR;Edam-Volendam
Ede;31;26,5;0;0;2;1,7;;;WAAR;Ede
Eemnes;4;43,3;0;0;0;0;;;WAAR;Eemnes
Eersel;10;51,8;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;3;11,6;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;94;40,1;0;0;0;0;;;WAAR;Eindhoven
Elburg;5;21,6;0;0;0;0;;;WAAR;Elburg
Emmen;0;0;0;0;0;0;;;WAAR;Emmen
Enkhuizen;1;5,4;0;0;0;0;;;WAAR;Enkhuizen
Enschede;25;15,7;1;0,6;0;0;;;WAAR;Enschede
Epe;1;3;0;0;0;0;;;WAAR;Epe
Ermelo;17;62,9;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;6;13,7;0;0;0;0;;;WAAR;Etten-Leur
Geertruidenberg;10;46,4;1;4,6;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;6;15,1;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;11;35,8;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;17;100,5;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;22;83,2;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;15;30;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;8;21;0;0;2;5,3;;;WAAR;Goes
Goirle;7;29,3;0;0;0;0;;;WAAR;Goirle
Gooise Meren;23;39,6;0;0;0;0;;;WAAR;Gooise Meren
Gorinchem;18;48,6;0;0;0;0;;;WAAR;Gorinchem
Gouda;42;57,2;0;0;0;0;;;WAAR;Gouda
Grave;4;32,2;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);33;14,2;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1;7,1;0;0;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;2;8,2;0;0;0;0;;;WAAR;Haaksbergen
Haaren;9;62,6;0;0;0;0;;;WAAR;Haaren
Haarlem;75;46;1;0,6;1;0,6;;;WAAR;Haarlem
Haarlemmermeer;63;40,4;0;0;0;0;;;WAAR;Haarlemmermeer
Halderberge;16;52,8;0;0;0;0;;;WAAR;Halderberge
Hardenberg;4;6,6;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;23;47,5;0;0;0;0;;;WAAR;Harderwijk
Hardinxveld-Giessendam;6;32,8;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;1;6,4;0;0;0;0;;;WAAR;Harlingen
Hattem;3;24,6;0;0;0;0;;;WAAR;Hattem
Heemskerk;7;17,9;1;2,6;0;0;;;WAAR;Heemskerk
Heemstede;14;51,4;0;0;0;0;;;WAAR;Heemstede
Heerde;1;5,4;0;0;0;0;;;WAAR;Heerde
Heerenveen;5;9,9;0;0;0;0;;;WAAR;Heerenveen
Heerhugowaard;25;43,4;0;0;0;0;;;WAAR;Heerhugowaard
Heerlen;31;35,6;0;0;0;0;;;WAAR;Heerlen
Heeze-Leende;2;12,4;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;4;16,7;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;0;0;0;0;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;10;24,9;0;0;1;2,5;;;WAAR;Hellevoetsluis
Helmond;40;43,3;0;0;0;0;;;WAAR;Helmond
Hendrik-Ido-Ambacht;12;38,5;0;0;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);11;13,6;0;0;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;1;2,1;0;0;0;0;;;WAAR;Het Hogeland
Heumen;2;12,2;0;0;0;0;;;WAAR;Heumen
Heusden;7;15,7;0;0;0;0;;;WAAR;Heusden
Hillegom;11;49,5;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;8;51,6;0;0;0;0;;;WAAR;Hilvarenbeek
Hilversum;42;46,2;1;1,1;0;0;;;WAAR;Hilversum
Hoeksche Waard;29;33,2;0;0;0;0;;;WAAR;Hoeksche Waard
Hof van Twente;0;0;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;9;18,6;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;0;0;0;0;0;0;;;WAAR;Hoogeveen
Hoorn;15;20,5;0;0;0;0;;;WAAR;Hoorn
Horst aan de Maas;6;14,1;0;0;0;0;;;WAAR;Horst aan de Maas
Houten;7;14;1;2;0;0;;;WAAR;Houten
Huizen;26;63;0;0;0;0;;;WAAR;Huizen
Hulst;7;25,4;0;0;0;0;;;WAAR;Hulst
IJsselstein;18;52,8;0;0;0;0;;;WAAR;IJsselstein
Kaag en Braassem;3;11;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;7;12,9;0;0;0;0;;;WAAR;Kampen
Kapelle;2;15,8;0;0;0;0;;;WAAR;Kapelle
Katwijk;5;7,6;0;0;0;0;;;WAAR;Katwijk
Kerkrade;7;15,3;0;0;0;0;;;WAAR;Kerkrade
Koggenland;11;48,4;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;4;13,5;0;0;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;13;23,1;0;0;0;0;;;WAAR;Krimpenerwaard
Laarbeek;12;53,3;0;0;0;0;;;WAAR;Laarbeek
Landerd;1;6,4;0;0;0;0;;;WAAR;Landerd
Landgraaf;4;10,7;0;0;0;0;;;WAAR;Landgraaf
Landsmeer;8;69,6;0;0;0;0;;;WAAR;Landsmeer
Langedijk;10;35,5;0;0;0;0;;;WAAR;Langedijk
Lansingerland;15;24;0;0;0;0;;;WAAR;Lansingerland
Laren (NH.);8;70,9;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;31;25;1;0,8;0;0;;;WAAR;Leeuwarden
Leiden;45;36;0;0;2;1,6;;;WAAR;Leiden
Leiderdorp;6;22,2;0;0;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;30;39,2;0;0;1;1,3;;;WAAR;Leidschendam-Voorburg
Lelystad;21;26,7;0;0;1;1,3;;;WAAR;Lelystad
Leudal;3;8,4;0;0;0;0;;;WAAR;Leudal
Leusden;11;36,2;0;0;0;0;;;WAAR;Leusden
Lingewaard;4;8,6;0;0;0;0;;;WAAR;Lingewaard
Lisse;7;30,5;0;0;0;0;;;WAAR;Lisse
Lochem;0;0;0;0;0;0;;;WAAR;Lochem
Loon op Zand;10;42,7;0;0;0;0;;;WAAR;Loon op Zand
Lopik;5;34,6;0;0;0;0;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;3;13,2;0;0;0;0;;;WAAR;Losser
Maasdriel;0;0;0;0;0;0;;;WAAR;Maasdriel
Maasgouw;4;16,7;1;4,2;1;4,2;;;WAAR;Maasgouw
Maassluis;22;66,2;0;0;0;0;;;WAAR;Maassluis
Maastricht;52;42,8;1;0,8;0;0;;;WAAR;Maastricht
Medemblik;3;6,7;0;0;0;0;;;WAAR;Medemblik
Meerssen;3;15,9;0;0;0;0;;;WAAR;Meerssen
Meierijstad;24;29,6;0;0;0;0;;;WAAR;Meierijstad
Meppel;3;8,8;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);12;24,6;0;0;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;6;31;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;1;3;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;4;6,6;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;4;36,6;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;5;13,5;0;0;0;0;;;WAAR;Moerdijk
Molenlanden;3;6,8;0;0;0;0;;;WAAR;Molenlanden
Montferland;7;19,4;0;0;0;0;;;WAAR;Montferland
Montfoort;19;136,5;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;3;38,2;0;0;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;3;12,3;0;0;0;0;;;WAAR;Neder-Betuwe
Nederweert;2;11,8;0;0;0;0;;;WAAR;Nederweert
Nieuwegein;19;29,9;0;0;0;0;;;WAAR;Nieuwegein
Nieuwkoop;3;10,4;0;0;0;0;;;WAAR;Nieuwkoop
Nijkerk;14;32,4;0;0;0;0;;;WAAR;Nijkerk
Nijmegen;56;31,5;1;0,6;0;0;;;WAAR;Nijmegen
Nissewaard;11;12,9;0;0;0;0;;;WAAR;Nissewaard
Noardeast-Fryslan;1;2,2;0;0;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;0;0;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;5;16;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;2;4,2;0;0;0;0;;;WAAR;Noordoostpolder
Noordwijk;6;13,8;0;0;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;10;42,8;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;0;0;0;0;0;0;;;WAAR;Nunspeet
Oegstgeest;12;48,3;0;0;0;0;;;WAAR;Oegstgeest
Oirschot;9;48,1;0;0;0;0;;;WAAR;Oirschot
Oisterwijk;3;11,4;0;0;0;0;;;WAAR;Oisterwijk
Oldambt;1;2,6;0;0;0;0;;;WAAR;Oldambt
Oldebroek;3;12,7;0;0;0;0;;;WAAR;Oldebroek
Oldenzaal;12;37,7;0;0;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;2;11;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;7;38,9;0;0;0;0;;;WAAR;Ommen
Oost Gelre;3;10,1;0;0;0;0;;;WAAR;Oost Gelre
Oosterhout;24;42,9;0;0;0;0;;;WAAR;Oosterhout
Ooststellingwerf;2;7,9;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;1;10,3;0;0;0;0;;;WAAR;Oostzaan
Opmeer;2;16,9;0;0;0;0;;;WAAR;Opmeer
Opsterland;1;3,4;0;0;0;0;;;WAAR;Opsterland
Oss;37;40,3;0;0;0;0;;;WAAR;Oss
Oude IJsselstreek;22;55,9;0;0;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;12;85,6;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;3;29,3;0;0;0;0;;;WAAR;Oudewater
Overbetuwe;6;12,5;0;0;0;0;;;WAAR;Overbetuwe
Papendrecht;5;15,6;0;0;0;0;;;WAAR;Papendrecht
Peel en Maas;4;9,2;0;0;0;0;;;WAAR;Peel en Maas
Pekela;0;0;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;14;25,3;0;0;0;0;;;WAAR;Pijnacker-Nootdorp
Purmerend;17;20,9;0;0;0;0;;;WAAR;Purmerend
Putten;4;16,6;0;0;0;0;;;WAAR;Putten
Raalte;4;10,6;0;0;0;0;;;WAAR;Raalte
Reimerswaal;0;0;0;0;0;0;;;WAAR;Reimerswaal
Renkum;5;15,9;0;0;0;0;;;WAAR;Renkum
Renswoude;2;36,7;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;2;15,3;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;9;20,6;0;0;0;0;;;WAAR;Rheden
Rhenen;1;5;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;13;28,1;0;0;1;2,2;;;WAAR;Ridderkerk
Rijssen-Holten;0;0;0;0;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);27;49,6;0;0;2;3,7;;;WAAR;Rijswijk (ZH.)
Roerdalen;3;14,6;0;0;0;0;;;WAAR;Roerdalen
Roermond;14;24;0;0;0;0;;;WAAR;Roermond
Roosendaal;15;19,4;0;0;0;0;;;WAAR;Roosendaal
Rotterdam;686;105,4;10;1,5;1;0,2;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;4;17,5;0;0;0;0;;;WAAR;Rucphen
Schagen;4;8,6;0;0;0;0;;;WAAR;Schagen
Scherpenzeel;2;20,2;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;50;63,5;1;1,3;0;0;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;5;14,8;0;0;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);547;100,2;7;1,3;2;0,4;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;75;48,4;1;0,6;0;0;;;WAAR;'s-Hertogenbosch
Simpelveld;0;0;0;0;0;0;;;WAAR;Simpelveld
Sint Anthonis;2;17,1;0;0;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;5;17,1;0;0;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;23;24,9;1;1,1;0;0;;;WAAR;Sittard-Geleen
Sliedrecht;7;27,8;0;0;0;0;;;WAAR;Sliedrecht
Sluis;2;8,6;0;0;0;0;;;WAAR;Sluis
Smallingerland;2;3,6;0;0;0;0;;;WAAR;Smallingerland
Soest;15;32,2;0;0;0;0;;;WAAR;Soest
Someren;5;25,8;0;0;0;0;;;WAAR;Someren
Son en Breugel;3;17,3;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;3;9,5;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;0;0;0;0;0;0;;;WAAR;Staphorst
Stede Broec;1;4,6;0;0;0;0;;;WAAR;Stede Broec
Steenbergen;0;0;0;0;0;0;;;WAAR;Steenbergen
Steenwijkerland;3;6,8;0;0;0;0;;;WAAR;Steenwijkerland
Stein (L.);10;40;0;0;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;17;26,2;0;0;0;0;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;9;10;0;0;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;16;29,4;0;0;0;0;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;1;7,4;0;0;0;0;;;WAAR;Texel
Teylingen;4;10,7;0;0;0;0;;;WAAR;Teylingen
Tholen;3;11,6;0;0;0;0;;;WAAR;Tholen
Tiel;6;14,2;0;0;0;0;;;WAAR;Tiel
Tilburg;150;68,2;0;0;1;0,5;;;WAAR;Tilburg
Tubbergen;1;4,7;0;0;0;0;;;WAAR;Tubbergen
Twenterand;1;3;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;1;3;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;5;15,6;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;6;14,2;0;0;0;0;;;WAAR;Uden
Uitgeest;1;7,3;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;10;33,9;0;0;0;0;;;WAAR;Uithoorn
Urk;2;9,5;0;0;0;0;;;WAAR;Urk
Utrecht (gemeente);230;64,3;3;0,8;2;0,6;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;4;8,1;0;0;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;1;9,9;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;1;6,1;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;6;19,2;0;0;0;0;;;WAAR;Valkenswaard
Veendam;4;14,6;0;0;1;3,7;;;WAAR;Veendam
Veenendaal;24;36,1;1;1,5;0;0;;;WAAR;Veenendaal
Veere;4;18,3;0;0;0;0;;;WAAR;Veere
Veldhoven;13;28,6;0;0;0;0;;;WAAR;Veldhoven
Velsen;19;27,7;0;0;0;0;;;WAAR;Velsen
Venlo;38;37,3;0;0;0;0;;;WAAR;Venlo
Venray;11;25,2;0;0;0;0;;;WAAR;Venray
Vijfheerenlanden;10;17,6;0;0;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;41;55,9;1;1,4;0;0;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;6;13,5;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;2;16;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;8;31,3;0;0;0;0;;;WAAR;Voorschoten
Voorst;10;40,7;0;0;0;0;;;WAAR;Voorst
Vught;11;41,4;0;0;0;0;;;WAAR;Vught
Waadhoeke;2;4,3;0;0;0;0;;;WAAR;Waadhoeke
Waalre;3;17,2;0;0;0;0;;;WAAR;Waalre
Waalwijk;14;28,8;0;0;0;0;;;WAAR;Waalwijk
Waddinxveen;7;23,9;0;0;0;0;;;WAAR;Waddinxveen
Wageningen;26;65,6;0;0;0;0;;;WAAR;Wageningen
Wassenaar;6;22,8;0;0;0;0;;;WAAR;Wassenaar
Waterland;6;34,4;0;0;0;0;;;WAAR;Waterland
Weert;12;23,9;0;0;0;0;;;WAAR;Weert
Weesp;4;20,3;0;0;0;0;;;WAAR;Weesp
West Betuwe;7;13,7;0;0;0;0;;;WAAR;West Betuwe
West Maas en Waal;2;10,3;0;0;0;0;;;WAAR;West Maas en Waal
Westerkwartier;1;1,6;0;0;0;0;;;WAAR;Westerkwartier
Westerveld;0;0;0;0;0;0;;;WAAR;Westerveld
Westervoort;2;13,4;0;0;0;0;;;WAAR;Westervoort
Westerwolde;3;11,7;0;0;0;0;;;WAAR;Westerwolde
Westland;62;56,2;0;0;0;0;;;WAAR;Westland
Weststellingwerf;0;0;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;1;6,8;0;0;0;0;;;WAAR;Westvoorne
Wierden;0;0;0;0;0;0;;;WAAR;Wierden
Wijchen;15;36,5;0;0;0;0;;;WAAR;Wijchen
Wijdemeren;2;8,2;0;0;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;1;4,2;0;0;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;8;27,7;0;0;0;0;;;WAAR;Winterswijk
Woensdrecht;2;9,1;1;4,6;0;0;;;WAAR;Woensdrecht
Woerden;14;26,8;0;0;0;0;;;WAAR;Woerden
Wormerland;2;12,3;0;0;0;0;;;WAAR;Wormerland
Woudenberg;0;0;0;0;0;0;;;WAAR;Woudenberg
Zaanstad;47;30;0;0;1;0,6;;;WAAR;Zaanstad
Zaltbommel;3;10,4;0;0;0;0;;;WAAR;Zaltbommel
Zandvoort;6;35,1;0;0;0;0;;;WAAR;Zandvoort
Zeewolde;2;8,8;0;0;0;0;;;WAAR;Zeewolde
Zeist;25;38,5;0;0;0;0;;;WAAR;Zeist
Zevenaar;3;6,9;0;0;0;0;;;WAAR;Zevenaar
Zoetermeer;51;40,7;1;0,8;0;0;;;WAAR;Zoetermeer
Zoeterwoude;0;0;0;0;0;0;;;WAAR;Zoeterwoude
Zuidplas;13;29,6;0;0;0;0;;;WAAR;Zuidplas
Zundert;1;4,6;0;0;0;0;;;WAAR;Zundert
Zutphen;11;22,9;0;0;0;0;;;WAAR;Zutphen
Zwartewaterland;0;0;0;0;0;0;;;WAAR;Zwartewaterland
Zwijndrecht;12;26,8;0;0;0;0;;;WAAR;Zwijndrecht
Zwolle;17;13,2;0;0;0;0;;;WAAR;Zwolle
