Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Lopik;331;Lopik;14467;18-11-2020;1-12-2020;50;345,6;0;0;0;0;Lopik
Loppersum;24;Loppersum;9537;18-11-2020;1-12-2020;16;167,8;0;0;0;0;Loppersum
Losser;168;Losser;22683;18-11-2020;1-12-2020;153;674,5;1;4,4;1;4,4;Losser
Maasdriel;263;Maasdriel;25030;18-11-2020;1-12-2020;121;483,4;0;0;2;8;Maasdriel
Maasgouw;1641;Maasgouw;23965;18-11-2020;1-12-2020;57;237,8;0;0;0;0;Maasgouw
Maassluis;556;Maassluis;33213;18-11-2020;1-12-2020;143;430,6;1;3;0;0;Maassluis
Maastricht;935;Maastricht;121575;18-11-2020;1-12-2020;409;336,4;4;3,3;0;0;Maastricht
Medemblik;420;Medemblik;45101;18-11-2020;1-12-2020;133;294,9;0;0;0;0;Medemblik
Meerssen;938;Meerssen;18828;18-11-2020;1-12-2020;64;339,9;0;0;0;0;Meerssen
Meierijstad;1948;Meierijstad;81194;18-11-2020;1-12-2020;288;354,7;0;0;0;0;Meierijstad
Meppel;119;Meppel;33920;18-11-2020;1-12-2020;83;244,7;0;0;0;0;Meppel
Middelburg;687;Middelburg;48822;18-11-2020;1-12-2020;72;147,5;0;0;1;2;Middelburg
Midden-Delfland;1842;Midden-Delfland;19341;18-11-2020;1-12-2020;99;511,9;0;0;1;5,2;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;18-11-2020;1-12-2020;54;162,7;0;0;1;3;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;18-11-2020;1-12-2020;180;296,1;2;3,3;3;4,9;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;18-11-2020;1-12-2020;31;283,4;0;0;0;0;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;18-11-2020;1-12-2020;117;315,1;1;2,7;0;0;Moerdijk
Molenlanden;1978;Molenlanden;43909;18-11-2020;1-12-2020;219;498,8;0;0;0;0;Molenlanden
Montferland;1955;Montferland;36011;18-11-2020;1-12-2020;84;233,3;0;0;0;0;Montferland
Montfoort;335;Montfoort;13917;18-11-2020;1-12-2020;58;416,8;0;0;0;0;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;18-11-2020;1-12-2020;18;229,4;0;0;1;12,7;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;18-11-2020;1-12-2020;187;768,3;1;4,1;2;8,2;Neder-Betuwe
Nederweert;946;Nederweert;17019;18-11-2020;1-12-2020;95;558,2;0;0;1;5,9;Nederweert
Nieuwegein;356;Nieuwegein;63462;18-11-2020;1-12-2020;212;334,1;2;3,2;0;0;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;18-11-2020;1-12-2020;139;482,5;0;0;0;0;Nieuwkoop
Nijkerk;267;Nijkerk;43171;18-11-2020;1-12-2020;184;426,2;1;2,3;0;0;Nijkerk
Nijmegen;268;Nijmegen;177659;18-11-2020;1-12-2020;467;262,9;3;1,7;6;3,4;Nijmegen
Nissewaard;1930;Nissewaard;85219;18-11-2020;1-12-2020;395;463,5;2;2,3;7;8,2;Nissewaard
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;18-11-2020;1-12-2020;87;192,4;1;2,2;2;4,4;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;18-11-2020;1-12-2020;5;67,6;2;27,1;0;0;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;18-11-2020;1-12-2020;36;115,2;0;0;0;0;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;18-11-2020;1-12-2020;276;583,6;1;2,1;4;8,5;Noordoostpolder
Noordwijk;575;Noordwijk;43508;18-11-2020;1-12-2020;150;344,8;1;2,3;0;0;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;18-11-2020;1-12-2020;94;402;0;0;1;4,3;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;18-11-2020;1-12-2020;110;395;0;0;0;0;Nunspeet
Oegstgeest;579;Oegstgeest;24840;18-11-2020;1-12-2020;110;442,8;1;4;3;12,1;Oegstgeest
Oirschot;823;Oirschot;18714;18-11-2020;1-12-2020;75;400,8;0;0;1;5,3;Oirschot
Oisterwijk;824;Oisterwijk;26245;18-11-2020;1-12-2020;143;544,9;0;0;0;0;Oisterwijk
Oldambt;1895;Oldambt;38209;18-11-2020;1-12-2020;67;175,4;0;0;1;2,6;Oldambt
Oldebroek;269;Oldebroek;23646;18-11-2020;1-12-2020;57;241,1;0;0;0;0;Oldebroek
Oldenzaal;173;Oldenzaal;31836;18-11-2020;1-12-2020;158;496,3;3;9,4;6;18,8;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;18-11-2020;1-12-2020;26;142,5;0;0;0;0;Olst-Wijhe
Ommen;175;Ommen;18009;18-11-2020;1-12-2020;32;177,7;0;0;1;5,6;Ommen
Oost Gelre;1586;Oost Gelre;29627;18-11-2020;1-12-2020;71;239,6;1;3,4;4;13,5;Oost Gelre
Oosterhout;826;Oosterhout;55982;18-11-2020;1-12-2020;230;410,8;0;0;1;1,8;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;18-11-2020;1-12-2020;83;325,9;1;3,9;0;0;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;18-11-2020;1-12-2020;33;339;0;0;0;0;Oostzaan
Opmeer;432;Opmeer;11836;18-11-2020;1-12-2020;48;405,5;0;0;0;0;Opmeer
Opsterland;86;Opsterland;29733;18-11-2020;1-12-2020;56;188,3;0;0;0;0;Opsterland
Oss;828;Oss;91915;18-11-2020;1-12-2020;257;279,6;0;0;4;4,4;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;18-11-2020;1-12-2020;153;388,4;2;5,1;2;5,1;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;18-11-2020;1-12-2020;61;434,9;0;0;0;0;Ouder-Amstel
Oudewater;589;Oudewater;10230;18-11-2020;1-12-2020;43;420,3;0;0;0;0;Oudewater
Overbetuwe;1734;Overbetuwe;47906;18-11-2020;1-12-2020;143;298,5;0;0;0;0;Overbetuwe
Papendrecht;590;Papendrecht;32136;18-11-2020;1-12-2020;112;348,5;1;3,1;2;6,2;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;18-11-2020;1-12-2020;108;248,7;1;2,3;0;0;Peel en Maas
Pekela;765;Pekela;12196;18-11-2020;1-12-2020;9;73,8;0;0;0;0;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;18-11-2020;1-12-2020;220;397,8;0;0;2;3,6;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;18-11-2020;1-12-2020;206;253,5;0;0;2;2,5;Purmerend
Putten;273;Putten;24112;18-11-2020;1-12-2020;139;576,5;0;0;2;8,3;Putten
Raalte;177;Raalte;37712;18-11-2020;1-12-2020;124;328,8;0;0;0;0;Raalte
Reimerswaal;703;Reimerswaal;22730;18-11-2020;1-12-2020;80;352;1;4,4;0;0;Reimerswaal
Renkum;274;Renkum;31419;18-11-2020;1-12-2020;88;280,1;0;0;0;0;Renkum
Renswoude;339;Renswoude;5444;18-11-2020;1-12-2020;15;275,5;0;0;0;0;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;18-11-2020;1-12-2020;39;297,4;0;0;1;7,6;Reusel-De Mierden
Rheden;275;Rheden;43761;18-11-2020;1-12-2020;143;326,8;0;0;0;0;Rheden
Rhenen;340;Rhenen;20119;18-11-2020;1-12-2020;111;551,7;0;0;0;0;Rhenen
Ridderkerk;597;Ridderkerk;46189;18-11-2020;1-12-2020;198;428,7;1;2,2;5;10,8;Ridderkerk
Rijssen-Holten;1742;Rijssen-Holten;38177;18-11-2020;1-12-2020;167;437,4;1;2,6;0;0;Rijssen-Holten
Rijswijk;603;Rijswijk;54450;18-11-2020;1-12-2020;170;312,2;3;5,5;2;3,7;Rijswijk
Roerdalen;1669;Roerdalen;20574;18-11-2020;1-12-2020;60;291,6;0;0;0;0;Roerdalen
Roermond;957;Roermond;58260;18-11-2020;1-12-2020;213;365,6;0;0;2;3,4;Roermond
Roosendaal;1674;Roosendaal;77251;18-11-2020;1-12-2020;381;493,2;5;6,5;1;1,3;Roosendaal
Rotterdam;599;Rotterdam;651157;18-11-2020;1-12-2020;2768;425,1;35;5,4;22;3,4;Rotterdam
Rozendaal;277;Rozendaal;1704;18-11-2020;1-12-2020;10;586,9;0;0;0;0;Rozendaal
Rucphen;840;Rucphen;22878;18-11-2020;1-12-2020;82;358,4;2;8,7;0;0;Rucphen
Schagen;441;Schagen;46483;18-11-2020;1-12-2020;225;484;1;2,2;0;0;Schagen
Scherpenzeel;279;Scherpenzeel;9880;18-11-2020;1-12-2020;46;465,6;0;0;0;0;Scherpenzeel
Schiedam;606;Schiedam;78730;18-11-2020;1-12-2020;446;566,5;10;12,7;1;1,3;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;18-11-2020;1-12-2020;0;0;0;0;0;0;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;18-11-2020;1-12-2020;43;127,1;0;0;0;0;Schouwen-Duiveland
's-Gravenhage;518;'s-Gravenhage;545838;18-11-2020;1-12-2020;1543;282,7;32;5,9;4;0,7;'s-Gravenhage
's-Hertogenbosch;796;'s-Hertogenbosch;155111;18-11-2020;1-12-2020;690;444,8;3;1,9;4;2,6;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;18-11-2020;1-12-2020;28;265,3;0;0;0;0;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;18-11-2020;1-12-2020;36;308,6;0;0;0;0;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;18-11-2020;1-12-2020;76;260,2;0;0;1;3,4;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;18-11-2020;1-12-2020;259;280,2;4;4,3;5;5,4;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;18-11-2020;1-12-2020;128;507,5;0;0;0;0;Sliedrecht
Sluis;1714;Sluis;23210;18-11-2020;1-12-2020;96;413,6;0;0;0;0;Sluis
Smallingerland;90;Smallingerland;56150;18-11-2020;1-12-2020;76;135,4;1;1,8;1;1,8;Smallingerland
Soest;342;Soest;46606;18-11-2020;1-12-2020;136;291,8;3;6,4;0;0;Soest
Someren;847;Someren;19368;18-11-2020;1-12-2020;120;619,6;1;5,2;0;0;Someren
Son en Breugel;848;Son en Breugel;17322;18-11-2020;1-12-2020;74;427,2;0;0;0;0;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;18-11-2020;1-12-2020;100;315,6;0;0;0;0;Stadskanaal
Staphorst;180;Staphorst;17145;18-11-2020;1-12-2020;73;425,8;0;0;0;0;Staphorst
Stede Broec;532;Stede Broec;21726;18-11-2020;1-12-2020;46;211,7;0;0;0;0;Stede Broec
Steenbergen;851;Steenbergen;24416;18-11-2020;1-12-2020;79;323,6;1;4,1;0;0;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;18-11-2020;1-12-2020;92;208,5;0;0;0;0;Steenwijkerland
Stein;971;Stein;25007;18-11-2020;1-12-2020;65;259,9;1;4;0;0;Stein
Stichtse Vecht;1904;Stichtse Vecht;64931;18-11-2020;1-12-2020;316;486,7;3;4,6;2;3,1;Stichtse Vecht
Sudwest-Fryslan;1900;Sudwest-Fryslan;89987;18-11-2020;1-12-2020;318;353,4;2;2,2;7;7,8;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;18-11-2020;1-12-2020;250;459,3;2;3,7;1;1,8;Terneuzen
Terschelling;93;Terschelling;4888;18-11-2020;1-12-2020;4;81,8;0;0;0;0;Terschelling
Texel;448;Texel;13575;18-11-2020;1-12-2020;3;22,1;0;0;0;0;Texel
Teylingen;1525;Teylingen;37440;18-11-2020;1-12-2020;149;398;2;5,3;0;0;Teylingen
Tholen;716;Tholen;25757;18-11-2020;1-12-2020;105;407,7;1;3,9;1;3,9;Tholen
Tiel;281;Tiel;42159;18-11-2020;1-12-2020;136;322,6;1;2,4;2;4,7;Tiel
Tilburg;855;Tilburg;219789;18-11-2020;1-12-2020;1100;500,5;2;0,9;12;5,5;Tilburg
Tubbergen;183;Tubbergen;21275;18-11-2020;1-12-2020;145;681,6;0;0;1;4,7;Tubbergen
Twenterand;1700;Twenterand;33743;18-11-2020;1-12-2020;150;444,5;1;3;0;0;Twenterand
Tynaarlo;1730;Tynaarlo;33887;18-11-2020;1-12-2020;36;106,2;0;0;3;8,9;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;18-11-2020;1-12-2020;44;137,3;0;0;0;0;Tytsjerksteradiel
Uden;856;Uden;42119;18-11-2020;1-12-2020;156;370,4;1;2,4;1;2,4;Uden
Uitgeest;450;Uitgeest;13666;18-11-2020;1-12-2020;59;431,7;0;0;0;0;Uitgeest
Uithoorn;451;Uithoorn;29478;18-11-2020;1-12-2020;125;424;2;6,8;1;3,4;Uithoorn
Urk;184;Urk;21031;18-11-2020;1-12-2020;499;2372,7;4;19;4;19;Urk
Utrecht;344;Utrecht;357597;18-11-2020;1-12-2020;1195;334,2;17;4,8;5;1,4;Utrecht
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;18-11-2020;1-12-2020;142;286,4;2;4;0;0;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;18-11-2020;1-12-2020;32;316,7;1;9,9;0;0;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;18-11-2020;1-12-2020;60;366,6;0;0;1;6,1;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;18-11-2020;1-12-2020;119;381,5;0;0;1;3,2;Valkenswaard
Veendam;47;Veendam;27384;18-11-2020;1-12-2020;39;142,4;0;0;0;0;Veendam
Veenendaal;345;Veenendaal;66493;18-11-2020;1-12-2020;480;721,9;6;9;2;3;Veenendaal
Veere;717;Veere;21880;18-11-2020;1-12-2020;21;96;1;4,6;0;0;Veere
Veldhoven;861;Veldhoven;45466;18-11-2020;1-12-2020;158;347,5;0;0;3;6,6;Veldhoven
Velsen;453;Velsen;68648;18-11-2020;1-12-2020;279;406,4;2;2,9;3;4,4;Velsen
Venlo;983;Venlo;101802;18-11-2020;1-12-2020;317;311,4;2;2;5;4,9;Venlo
Venray;984;Venray;43614;18-11-2020;1-12-2020;140;321;1;2,3;0;0;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;18-11-2020;1-12-2020;262;461,2;0;0;5;8,8;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;18-11-2020;1-12-2020;313;426,4;4;5,4;5;6,8;Vlaardingen
Vlieland;96;Vlieland;1155;18-11-2020;1-12-2020;1;86,6;0;0;0;0;Vlieland
Vlissingen;718;Vlissingen;44360;18-11-2020;1-12-2020;57;128,5;0;0;1;2,3;Vlissingen
Voerendaal;986;Voerendaal;12475;18-11-2020;1-12-2020;28;224,4;0;0;0;0;Voerendaal
Voorschoten;626;Voorschoten;25596;18-11-2020;1-12-2020;65;253,9;0;0;1;3,9;Voorschoten
Voorst;285;Voorst;24552;18-11-2020;1-12-2020;52;211,8;0;0;0;0;Voorst
Vught;865;Vught;26558;18-11-2020;1-12-2020;162;610;0;0;2;7,5;Vught
Waadhoeke;1949;Waadhoeke;46090;18-11-2020;1-12-2020;71;154;1;2,2;4;8,7;Waadhoeke
Waalre;866;Waalre;17456;18-11-2020;1-12-2020;50;286,4;0;0;1;5,7;Waalre
Waalwijk;867;Waalwijk;48637;18-11-2020;1-12-2020;244;501,7;1;2,1;5;10,3;Waalwijk
Waddinxveen;627;Waddinxveen;29291;18-11-2020;1-12-2020;124;423,3;4;13,7;2;6,8;Waddinxveen
Wageningen;289;Wageningen;39664;18-11-2020;1-12-2020;160;403,4;1;2,5;3;7,6;Wageningen
Wassenaar;629;Wassenaar;26305;18-11-2020;1-12-2020;75;285,1;2;7,6;0;0;Wassenaar
Waterland;852;Waterland;17424;18-11-2020;1-12-2020;42;241;0;0;1;5,7;Waterland
Weert;988;Weert;50105;18-11-2020;1-12-2020;224;447,1;1;2;4;8;Weert
Weesp;457;Weesp;19738;18-11-2020;1-12-2020;64;324,2;0;0;0;0;Weesp
West Betuwe;1960;West Betuwe;51128;18-11-2020;1-12-2020;328;641,5;4;7,8;3;5,9;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;18-11-2020;1-12-2020;42;217,3;0;0;0;0;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;18-11-2020;1-12-2020;93;146,9;1;1,6;0;0;Westerkwartier
Westerveld;1701;Westerveld;19460;18-11-2020;1-12-2020;28;143,9;0;0;0;0;Westerveld
Westervoort;293;Westervoort;14971;18-11-2020;1-12-2020;102;681,3;0;0;0;0;Westervoort
Westerwolde;1950;Westerwolde;25733;18-11-2020;1-12-2020;91;353,6;1;3,9;0;0;Westerwolde
Westland;1783;Westland;110375;18-11-2020;1-12-2020;681;617;6;5,4;10;9,1;Westland
Weststellingwerf;98;Weststellingwerf;25914;18-11-2020;1-12-2020;44;169,8;0;0;0;0;Weststellingwerf
Westvoorne;614;Westvoorne;14731;18-11-2020;1-12-2020;23;156,1;0;0;0;0;Westvoorne
Wierden;189;Wierden;24446;18-11-2020;1-12-2020;171;699,5;1;4,1;2;8,2;Wierden
Wijchen;296;Wijchen;41110;18-11-2020;1-12-2020;129;313,8;0;0;1;2,4;Wijchen
Wijdemeren;1696;Wijdemeren;24358;18-11-2020;1-12-2020;42;172,4;0;0;0;0;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;18-11-2020;1-12-2020;103;430,7;0;0;0;0;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;18-11-2020;1-12-2020;98;339,6;0;0;1;3,5;Winterswijk
Woensdrecht;873;Woensdrecht;21876;18-11-2020;1-12-2020;82;374,8;0;0;1;4,6;Woensdrecht
Woerden;632;Woerden;52299;18-11-2020;1-12-2020;256;489,5;2;3,8;2;3,8;Woerden
Wormerland;880;Wormerland;16270;18-11-2020;1-12-2020;60;368,8;0;0;0;0;Wormerland
Woudenberg;351;Woudenberg;13362;18-11-2020;1-12-2020;57;426,6;0;0;0;0;Woudenberg
Zaanstad;479;Zaanstad;156794;18-11-2020;1-12-2020;707;450,9;7;4,5;8;5,1;Zaanstad
Zaltbommel;297;Zaltbommel;28881;18-11-2020;1-12-2020;155;536,7;1;3,5;0;0;Zaltbommel
Zandvoort;473;Zandvoort;17116;18-11-2020;1-12-2020;48;280,4;0;0;0;0;Zandvoort
Zeewolde;50;Zeewolde;22653;18-11-2020;1-12-2020;50;220,7;0;0;1;4,4;Zeewolde
Zeist;355;Zeist;64905;18-11-2020;1-12-2020;191;294,3;2;3,1;3;4,6;Zeist
Zevenaar;299;Zevenaar;43750;18-11-2020;1-12-2020;105;240;0;0;1;2,3;Zevenaar
Zoetermeer;637;Zoetermeer;125285;18-11-2020;1-12-2020;577;460,5;4;3,2;3;2,4;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;18-11-2020;1-12-2020;45;523;0;0;0;0;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;18-11-2020;1-12-2020;178;405,6;5;11,4;1;2,3;Zuidplas
Zundert;879;Zundert;21829;18-11-2020;1-12-2020;41;187,8;2;9,2;1;4,6;Zundert
Zutphen;301;Zutphen;47934;18-11-2020;1-12-2020;151;315;0;0;0;0;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;18-11-2020;1-12-2020;83;365,9;1;4,4;1;4,4;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;18-11-2020;1-12-2020;158;353,2;0;0;3;6,7;Zwijndrecht
Zwolle;193;Zwolle;128840;18-11-2020;1-12-2020;250;194;1;0,8;1;0,8;Zwolle
