Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Lopik;331;Lopik;14467;23-12-2020;2021-01-05;49;338,7;0;0;0;0;;;WAAR;Lopik
Loppersum;24;Loppersum;9537;23-12-2020;2021-01-05;43;450,9;0;0;0;0;;;WAAR;Loppersum
Losser;168;Losser;22683;23-12-2020;2021-01-05;326;1437,2;4;17,6;6;26,5;;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;23-12-2020;2021-01-05;158;631,2;0;0;1;4;;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;23-12-2020;2021-01-05;200;834,6;2;8,3;1;4,2;;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;23-12-2020;2021-01-05;195;587,1;5;15,1;3;9;;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;23-12-2020;2021-01-05;579;476,2;4;3,3;7;5,8;;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;23-12-2020;2021-01-05;551;1221,7;4;8,9;1;2,2;;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;23-12-2020;2021-01-05;101;536,4;1;5,3;0;0;;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;23-12-2020;2021-01-05;542;667,5;4;4,9;5;6,2;;;WAAR;Meierijstad
Meppel;119;Meppel;33920;23-12-2020;2021-01-05;265;781,2;1;2,9;5;14,7;;;WAAR;Meppel
Middelburg;687;Middelburg;48822;23-12-2020;2021-01-05;213;436,3;3;6,1;1;2;;;WAAR;Middelburg
Midden-Delfland;1842;Midden-Delfland;19341;23-12-2020;2021-01-05;121;625,6;0;0;1;5,2;;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;23-12-2020;2021-01-05;179;539,4;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;23-12-2020;2021-01-05;291;478,6;4;6,6;6;9,9;;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;23-12-2020;2021-01-05;112;1023,9;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;23-12-2020;2021-01-05;134;360,9;2;5,4;2;5,4;;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;23-12-2020;2021-01-05;378;860,9;1;2,3;1;2,3;;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;23-12-2020;2021-01-05;266;738,7;1;2,8;0;0;;;WAAR;Montferland
Montfoort;335;Montfoort;13917;23-12-2020;2021-01-05;91;653,9;1;7,2;0;0;;;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;23-12-2020;2021-01-05;67;853,8;1;12,7;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;23-12-2020;2021-01-05;198;813,5;1;4,1;2;8,2;;;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;23-12-2020;2021-01-05;168;987,1;0;0;3;17,6;;;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;23-12-2020;2021-01-05;277;436,5;0;0;1;1,6;;;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;23-12-2020;2021-01-05;198;687,2;1;3,5;0;0;;;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;23-12-2020;2021-01-05;525;1216,1;2;4,6;2;4,6;;;WAAR;Nijkerk
Nijmegen;268;Nijmegen;177659;23-12-2020;2021-01-05;1052;592,1;3;1,7;14;7,9;;;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;23-12-2020;2021-01-05;395;463,5;3;3,5;6;7;;;WAAR;Nissewaard
Noardeast-Frysl̢n;1970;Noardeast-Fryslan;45228;23-12-2020;2021-01-05;275;608;3;6,6;7;15,5;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;23-12-2020;2021-01-05;15;202,9;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;23-12-2020;2021-01-05;107;342,4;0;0;1;3,2;;;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;23-12-2020;2021-01-05;260;549,8;1;2,1;0;0;;;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;23-12-2020;2021-01-05;337;774,6;5;11,5;3;6,9;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;23-12-2020;2021-01-05;130;556;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;23-12-2020;2021-01-05;194;696,6;1;3,6;1;3,6;;;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;23-12-2020;2021-01-05;155;624;0;0;5;20,1;;;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;23-12-2020;2021-01-05;129;689,3;1;5,3;0;0;;;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;23-12-2020;2021-01-05;172;655,4;0;0;1;3,8;;;WAAR;Oisterwijk
Oldambt;1895;Oldambt;38209;23-12-2020;2021-01-05;252;659,5;3;7,9;2;5,2;;;WAAR;Oldambt
Oldebroek;269;Oldebroek;23646;23-12-2020;2021-01-05;208;879,6;0;0;4;16,9;;;WAAR;Oldebroek
Oldenzaal;173;Oldenzaal;31836;23-12-2020;2021-01-05;317;995,7;3;9,4;4;12,6;;;WAAR;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;23-12-2020;2021-01-05;92;504,1;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;175;Ommen;18009;23-12-2020;2021-01-05;141;782,9;2;11,1;2;11,1;;;WAAR;Ommen
Oost Gelre;1586;Oost Gelre;29627;23-12-2020;2021-01-05;263;887,7;1;3,4;2;6,8;;;WAAR;Oost Gelre
Oosterhout;826;Oosterhout;55982;23-12-2020;2021-01-05;326;582,3;6;10,7;0;0;;;WAAR;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;23-12-2020;2021-01-05;65;255,2;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;23-12-2020;2021-01-05;59;606,1;1;10,3;1;10,3;;;WAAR;Oostzaan
Opmeer;432;Opmeer;11836;23-12-2020;2021-01-05;112;946,3;0;0;0;0;;;WAAR;Opmeer
Opsterland;86;Opsterland;29733;23-12-2020;2021-01-05;119;400,2;1;3,4;0;0;;;WAAR;Opsterland
Oss;828;Oss;91915;23-12-2020;2021-01-05;435;473,3;2;2,2;0;0;;;WAAR;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;23-12-2020;2021-01-05;321;815;1;2,5;3;7,6;;;WAAR;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;23-12-2020;2021-01-05;79;563,2;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;589;Oudewater;10230;23-12-2020;2021-01-05;65;635,4;0;0;0;0;;;WAAR;Oudewater
Overbetuwe;1734;Overbetuwe;47906;23-12-2020;2021-01-05;318;663,8;1;2,1;3;6,3;;;WAAR;Overbetuwe
Papendrecht;590;Papendrecht;32136;23-12-2020;2021-01-05;191;594,3;0;0;2;6,2;;;WAAR;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;23-12-2020;2021-01-05;223;513,5;0;0;3;6,9;;;WAAR;Peel en Maas
Pekela;765;Pekela;12196;23-12-2020;2021-01-05;72;590,4;1;8,2;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;23-12-2020;2021-01-05;290;524,3;2;3,6;3;5,4;;;WAAR;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;23-12-2020;2021-01-05;537;660,9;2;2,5;0;0;;;WAAR;Purmerend
Putten;273;Putten;24112;23-12-2020;2021-01-05;342;1418,4;1;4,1;1;4,1;;;WAAR;Putten
Raalte;177;Raalte;37712;23-12-2020;2021-01-05;280;742,5;1;2,7;3;8;;;WAAR;Raalte
Reimerswaal;703;Reimerswaal;22730;23-12-2020;2021-01-05;226;994,3;0;0;0;0;;;WAAR;Reimerswaal
Renkum;274;Renkum;31419;23-12-2020;2021-01-05;133;423,3;3;9,5;2;6,4;;;WAAR;Renkum
Renswoude;339;Renswoude;5444;23-12-2020;2021-01-05;79;1451,1;1;18,4;0;0;;;WAAR;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;23-12-2020;2021-01-05;94;716,9;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;275;Rheden;43761;23-12-2020;2021-01-05;324;740,4;2;4,6;3;6,9;;;WAAR;Rheden
Rhenen;340;Rhenen;20119;23-12-2020;2021-01-05;241;1197,9;3;14,9;1;5;;;WAAR;Rhenen
Ridderkerk;597;Ridderkerk;46189;23-12-2020;2021-01-05;235;508,8;1;2,2;1;2,2;;;WAAR;Ridderkerk
Rijssen-Holten;1742;Rijssen-Holten;38177;23-12-2020;2021-01-05;456;1194,4;4;10,5;7;18,3;;;WAAR;Rijssen-Holten
Rijswijk;603;Rijswijk;54450;23-12-2020;2021-01-05;279;512,4;3;5,5;4;7,3;;;WAAR;Rijswijk
Roerdalen;1669;Roerdalen;20574;23-12-2020;2021-01-05;120;583,3;1;4,9;3;14,6;;;WAAR;Roerdalen
Roermond;957;Roermond;58260;23-12-2020;2021-01-05;364;624,8;2;3,4;0;0;;;WAAR;Roermond
Roosendaal;1674;Roosendaal;77251;23-12-2020;2021-01-05;296;383,2;0;0;3;3,9;;;WAAR;Roosendaal
Rotterdam;599;Rotterdam;651157;23-12-2020;2021-01-05;2439;374,6;41;6,3;25;3,8;;;WAAR;Rotterdam
Rozendaal;277;Rozendaal;1704;23-12-2020;2021-01-05;15;880,3;0;0;0;0;;;WAAR;Rozendaal
Rucphen;840;Rucphen;22878;23-12-2020;2021-01-05;117;511,4;2;8,7;0;0;;;WAAR;Rucphen
Schagen;441;Schagen;46483;23-12-2020;2021-01-05;350;753;3;6,5;2;4,3;;;WAAR;Schagen
Scherpenzeel;279;Scherpenzeel;9880;23-12-2020;2021-01-05;95;961,5;0;0;4;40,5;;;WAAR;Scherpenzeel
Schiedam;606;Schiedam;78730;23-12-2020;2021-01-05;296;376;6;7,6;4;5,1;;;WAAR;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;23-12-2020;2021-01-05;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;23-12-2020;2021-01-05;128;378,3;2;5,9;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage;518;'s-Gravenhage;545838;23-12-2020;2021-01-05;2355;431,4;40;7,3;20;3,7;;;WAAR;'s-Gravenhage
's-Hertogenbosch;796;'s-Hertogenbosch;155111;23-12-2020;2021-01-05;964;621,5;0;0;7;4,5;;;WAAR;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;23-12-2020;2021-01-05;95;900;0;0;0;0;;;WAAR;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;23-12-2020;2021-01-05;117;1003,1;1;8,6;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;23-12-2020;2021-01-05;210;719;0;0;2;6,8;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;23-12-2020;2021-01-05;636;688,1;7;7,6;2;2,2;;;WAAR;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;23-12-2020;2021-01-05;272;1078,5;0;0;5;19,8;;;WAAR;Sliedrecht
Sluis;1714;Sluis;23210;23-12-2020;2021-01-05;129;555,8;1;4,3;5;21,5;;;WAAR;Sluis
Smallingerland;90;Smallingerland;56150;23-12-2020;2021-01-05;226;402,5;0;0;1;1,8;;;WAAR;Smallingerland
Soest;342;Soest;46606;23-12-2020;2021-01-05;314;673,7;0;0;1;2,1;;;WAAR;Soest
Someren;847;Someren;19368;23-12-2020;2021-01-05;214;1104,9;0;0;1;5,2;;;WAAR;Someren
Son en Breugel;848;Son en Breugel;17322;23-12-2020;2021-01-05;65;375,2;1;5,8;0;0;;;WAAR;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;23-12-2020;2021-01-05;174;549,1;3;9,5;1;3,2;;;WAAR;Stadskanaal
Staphorst;180;Staphorst;17145;23-12-2020;2021-01-05;267;1557,3;2;11,7;4;23,3;;;WAAR;Staphorst
Stede Broec;532;Stede Broec;21726;23-12-2020;2021-01-05;291;1339,4;1;4,6;2;9,2;;;WAAR;Stede Broec
Steenbergen;851;Steenbergen;24416;23-12-2020;2021-01-05;128;524,2;3;12,3;0;0;;;WAAR;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;23-12-2020;2021-01-05;262;593,8;1;2,3;2;4,5;;;WAAR;Steenwijkerland
Stein;971;Stein;25007;23-12-2020;2021-01-05;154;615,8;0;0;0;0;;;WAAR;Stein
Stichtse Vecht;1904;Stichtse Vecht;64931;23-12-2020;2021-01-05;378;582,2;1;1,5;3;4,6;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;1900;Sudwest-Fryslan;89987;23-12-2020;2021-01-05;516;573,4;0;0;5;5,6;;;WAAR;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;23-12-2020;2021-01-05;248;455,7;2;3,7;5;9,2;;;WAAR;Terneuzen
Terschelling;93;Terschelling;4888;23-12-2020;2021-01-05;22;450,1;0;0;0;0;;;WAAR;Terschelling
Texel;448;Texel;13575;23-12-2020;2021-01-05;64;471,5;0;0;0;0;;;WAAR;Texel
Teylingen;1525;Teylingen;37440;23-12-2020;2021-01-05;283;755,9;0;0;1;2,7;;;WAAR;Teylingen
Tholen;716;Tholen;25757;23-12-2020;2021-01-05;117;454,2;0;0;0;0;;;WAAR;Tholen
Tiel;281;Tiel;42159;23-12-2020;2021-01-05;191;453;1;2,4;1;2,4;;;WAAR;Tiel
Tilburg;855;Tilburg;219789;23-12-2020;2021-01-05;1237;562,8;5;2,3;14;6,4;;;WAAR;Tilburg
Tubbergen;183;Tubbergen;21275;23-12-2020;2021-01-05;213;1001,2;1;4,7;3;14,1;;;WAAR;Tubbergen
Twenterand;1700;Twenterand;33743;23-12-2020;2021-01-05;530;1570,7;5;14,8;4;11,9;;;WAAR;Twenterand
Tynaarlo;1730;Tynaarlo;33887;23-12-2020;2021-01-05;136;401,3;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;23-12-2020;2021-01-05;146;455,5;0;0;1;3,1;;;WAAR;Tytsjerksteradiel
Uden;856;Uden;42119;23-12-2020;2021-01-05;219;520;0;0;0;0;;;WAAR;Uden
Uitgeest;450;Uitgeest;13666;23-12-2020;2021-01-05;89;651,3;0;0;1;7,3;;;WAAR;Uitgeest
Uithoorn;451;Uithoorn;29478;23-12-2020;2021-01-05;178;603,8;1;3,4;0;0;;;WAAR;Uithoorn
Urk;184;Urk;21031;23-12-2020;2021-01-05;171;813,1;1;4,8;0;0;;;WAAR;Urk
Utrecht;344;Utrecht;357597;23-12-2020;2021-01-05;1543;431,5;12;3,4;8;2,2;;;WAAR;Utrecht
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;23-12-2020;2021-01-05;345;695,8;2;4;5;10,1;;;WAAR;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;23-12-2020;2021-01-05;46;455,2;2;19,8;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;23-12-2020;2021-01-05;77;470,5;2;12,2;1;6,1;;;WAAR;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;23-12-2020;2021-01-05;236;756,6;1;3,2;0;0;;;WAAR;Valkenswaard
Veendam;47;Veendam;27384;23-12-2020;2021-01-05;162;591,6;0;0;2;7,3;;;WAAR;Veendam
Veenendaal;345;Veenendaal;66493;23-12-2020;2021-01-05;735;1105,4;7;10,5;5;7,5;;;WAAR;Veenendaal
Veere;717;Veere;21880;23-12-2020;2021-01-05;134;612,4;0;0;0;0;;;WAAR;Veere
Veldhoven;861;Veldhoven;45466;23-12-2020;2021-01-05;253;556,5;0;0;2;4,4;;;WAAR;Veldhoven
Velsen;453;Velsen;68648;23-12-2020;2021-01-05;449;654,1;2;2,9;5;7,3;;;WAAR;Velsen
Venlo;983;Venlo;101802;23-12-2020;2021-01-05;715;702,3;3;2,9;8;7,9;;;WAAR;Venlo
Venray;984;Venray;43614;23-12-2020;2021-01-05;405;928,6;2;4,6;3;6,9;;;WAAR;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;23-12-2020;2021-01-05;345;607,3;3;5,3;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;23-12-2020;2021-01-05;291;396,5;2;2,7;0;0;;;WAAR;Vlaardingen
Vlieland;96;Vlieland;1155;23-12-2020;2021-01-05;5;432,9;0;0;0;0;;;WAAR;Vlieland
Vlissingen;718;Vlissingen;44360;23-12-2020;2021-01-05;170;383,2;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;986;Voerendaal;12475;23-12-2020;2021-01-05;83;665,3;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;626;Voorschoten;25596;23-12-2020;2021-01-05;103;402,4;1;3,9;2;7,8;;;WAAR;Voorschoten
Voorst;285;Voorst;24552;23-12-2020;2021-01-05;152;619,1;2;8,1;0;0;;;WAAR;Voorst
Vught;865;Vught;26558;23-12-2020;2021-01-05;175;658,9;0;0;3;11,3;;;WAAR;Vught
Waadhoeke;1949;Waadhoeke;46090;23-12-2020;2021-01-05;239;518,6;1;2,2;1;2,2;;;WAAR;Waadhoeke
Waalre;866;Waalre;17456;23-12-2020;2021-01-05;90;515,6;0;0;0;0;;;WAAR;Waalre
Waalwijk;867;Waalwijk;48637;23-12-2020;2021-01-05;336;690,8;2;4,1;8;16,4;;;WAAR;Waalwijk
Waddinxveen;627;Waddinxveen;29291;23-12-2020;2021-01-05;170;580,4;3;10,2;0;0;;;WAAR;Waddinxveen
Wageningen;289;Wageningen;39664;23-12-2020;2021-01-05;166;418,5;1;2,5;2;5;;;WAAR;Wageningen
Wassenaar;629;Wassenaar;26305;23-12-2020;2021-01-05;116;441;1;3,8;4;15,2;;;WAAR;Wassenaar
Waterland;852;Waterland;17424;23-12-2020;2021-01-05;121;694,4;0;0;0;0;;;WAAR;Waterland
Weert;988;Weert;50105;23-12-2020;2021-01-05;537;1071,7;6;12;12;23,9;;;WAAR;Weert
Weesp;457;Weesp;19738;23-12-2020;2021-01-05;91;461;1;5,1;1;5,1;;;WAAR;Weesp
West Betuwe;1960;West Betuwe;51128;23-12-2020;2021-01-05;374;731,5;1;2;0;0;;;WAAR;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;23-12-2020;2021-01-05;112;579,6;0;0;0;0;;;WAAR;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;23-12-2020;2021-01-05;278;439;3;4,7;1;1,6;;;WAAR;Westerkwartier
Westerveld;1701;Westerveld;19460;23-12-2020;2021-01-05;61;313,5;0;0;1;5,1;;;WAAR;Westerveld
Westervoort;293;Westervoort;14971;23-12-2020;2021-01-05;87;581,1;2;13,4;1;6,7;;;WAAR;Westervoort
Westerwolde;1950;Westerwolde;25733;23-12-2020;2021-01-05;149;579;3;11,7;3;11,7;;;WAAR;Westerwolde
Westland;1783;Westland;110375;23-12-2020;2021-01-05;879;796,4;4;3,6;4;3,6;;;WAAR;Westland
Weststellingwerf;98;Weststellingwerf;25914;23-12-2020;2021-01-05;94;362,7;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;614;Westvoorne;14731;23-12-2020;2021-01-05;58;393,7;1;6,8;7;47,5;;;WAAR;Westvoorne
Wierden;189;Wierden;24446;23-12-2020;2021-01-05;297;1214,9;0;0;2;8,2;;;WAAR;Wierden
Wijchen;296;Wijchen;41110;23-12-2020;2021-01-05;346;841,6;3;7,3;3;7,3;;;WAAR;Wijchen
Wijdemeren;1696;Wijdemeren;24358;23-12-2020;2021-01-05;144;591,2;0;0;1;4,1;;;WAAR;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;23-12-2020;2021-01-05;140;585,4;1;4,2;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;23-12-2020;2021-01-05;156;540,7;0;0;1;3,5;;;WAAR;Winterswijk
Woensdrecht;873;Woensdrecht;21876;23-12-2020;2021-01-05;82;374,8;0;0;0;0;;;WAAR;Woensdrecht
Woerden;632;Woerden;52299;23-12-2020;2021-01-05;336;642,5;5;9,6;3;5,7;;;WAAR;Woerden
Wormerland;880;Wormerland;16270;23-12-2020;2021-01-05;100;614,6;1;6,1;0;0;;;WAAR;Wormerland
Woudenberg;351;Woudenberg;13362;23-12-2020;2021-01-05;159;1189,9;1;7,5;1;7,5;;;WAAR;Woudenberg
Zaanstad;479;Zaanstad;156794;23-12-2020;2021-01-05;904;576,6;6;3,8;14;8,9;;;WAAR;Zaanstad
Zaltbommel;297;Zaltbommel;28881;23-12-2020;2021-01-05;279;966;1;3,5;8;27,7;;;WAAR;Zaltbommel
Zandvoort;473;Zandvoort;17116;23-12-2020;2021-01-05;102;595,9;0;0;1;5,8;;;WAAR;Zandvoort
Zeewolde;50;Zeewolde;22653;23-12-2020;2021-01-05;184;812,3;1;4,4;1;4,4;;;WAAR;Zeewolde
Zeist;355;Zeist;64905;23-12-2020;2021-01-05;308;474,5;2;3,1;4;6,2;;;WAAR;Zeist
Zevenaar;299;Zevenaar;43750;23-12-2020;2021-01-05;256;585,1;2;4,6;5;11,4;;;WAAR;Zevenaar
Zoetermeer;637;Zoetermeer;125285;23-12-2020;2021-01-05;611;487,7;4;3,2;7;5,6;;;WAAR;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;23-12-2020;2021-01-05;60;697,3;1;11,6;0;0;;;WAAR;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;23-12-2020;2021-01-05;290;660,8;6;13,7;1;2,3;;;WAAR;Zuidplas
Zundert;879;Zundert;21829;23-12-2020;2021-01-05;104;476,4;1;4,6;0;0;;;WAAR;Zundert
Zutphen;301;Zutphen;47934;23-12-2020;2021-01-05;246;513,2;1;2,1;3;6,3;;;WAAR;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;23-12-2020;2021-01-05;127;559,8;1;4,4;0;0;;;WAAR;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;23-12-2020;2021-01-05;324;724,2;1;2,2;4;8,9;;;WAAR;Zwijndrecht
Zwolle;193;Zwolle;128840;23-12-2020;2021-01-05;599;464,9;2;1,6;3;2,3;;;WAAR;Zwolle
