Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;
's-Gravenhage (gemeente);;19;3,5;9;1,7;0;0
's-Hertogenbosch;;24;15,4;11;7,1;2;1,3
Aa en Hunze;;0;0;0;0;0;0
Aalsmeer;;1;3,2;0;0;0;0
Aalten;;0;0;0;0;0;0
Achtkarspelen;;0;0;0;0;0;0
Alblasserdam;;2;9,9;0;0;0;0
Albrandswaard;;3;11,7;0;0;0;0
Alkmaar;;7;6,4;3;2,8;0;0
Almelo;;1;1,3;1;1,4;0;0
Almere;;2;0,9;1;0,5;0;0
Alphen aan den Rijn;;5;4,5;3;2,7;0;0
Alphen-Chaam;;6;58,8;4;39,2;0;0
Altena;;6;10,8;1;1,7;0;0
Ameland;;0;0;0;0;0;0
Amersfoort;;23;14,6;8;5,1;1;0,6
Amstelveen;;11;12;3;3,3;0;0
Amsterdam;;76;8,7;32;3,7;1;0,1
Apeldoorn;;8;4,9;3;1,8;0;0
Appingedam;;0;0;0;0;0;0
Arnhem;;7;4,3;3;1,9;0;0
Assen;;1;1,5;1;1,5;0;0
Asten;;2;12;0;0;0;0
Baarle-Nassau;;0;0;0;0;0;0
Baarn;;0;0;0;0;0;0
Barendrecht;;2;4,1;2;4,1;0;0
Barneveld;;7;11,8;1;1,7;0;0
Beek (L.);;3;18,9;2;12,6;0;0
Beekdaelen;;9;25;6;16,7;3;8,3
Beemster;;0;0;0;0;0;0
Beesel;;0;0;0;0;0;0
Berg en Dal;;12;34,3;1;2,9;0;0
Bergeijk;;0;0;1;5,4;0;0
Bergen (L.);;1;7,6;0;0;0;0
Bergen (NH.);;4;13,4;3;10,1;0;0
Bergen op Zoom;;4;5,9;3;4,4;1;1,5
Berkelland;;1;2,3;0;0;0;0
Bernheze;;26;83,2;15;48;2;6,4
Best;;3;10;3;10;0;0
Beuningen;;3;11,6;0;0;0;0
Beverwijk;;-1;-2,4;-1;-2,4;0;0
Bladel;;3;14,7;5;24,5;1;4,9
Blaricum;;1;8,6;0;0;0;0
Bloemendaal;;4;17;0;0;0;0
Bodegraven-Reeuwijk;;1;2,9;0;0;0;0
Boekel;;12;111,2;4;37,1;2;18,5
Borger-Odoorn;;0;0;0;0;0;0
Borne;;-1;-4,3;0;0;0;0
Borsele;;2;8,8;1;4,4;0;0
Boxmeer;;3;10,2;2;6,8;0;0
Boxtel;;5;16,2;1;3,2;1;3,2
Breda;;55;29,9;21;11,4;6;3,3
Brielle;;0;0;-1;-5,8;0;0
Bronckhorst;;-1;-2,7;0;0;0;0
Brummen;;0;0;1;4,8;0;0
Brunssum;;5;18;2;7,2;1;3,6
Bunnik;;1;6,6;0;0;0;0
Bunschoten;;0;0;0;0;0;0
Buren;;4;15;1;3,7;0;0
Capelle aan den IJssel;;1;1,5;0;0;0;0
Castricum;;5;13,9;1;2,8;0;0
Coevorden;;-2;-5,7;1;2,8;0;0
Cranendonck;;5;23,7;0;0;1;4,7
Cuijk;;1;4;1;4;0;0
Culemborg;;2;6,9;2;6,9;0;0
Dalfsen;;1;3,5;0;0;0;0
Dantumadiel;;0;0;0;0;0;0
De Bilt;;2;4,6;1;2,3;0;0
De Fryske Marren;;6;11,6;1;1,9;0;0
De Ronde Venen;;2;4,5;0;0;0;0
De Wolden;;1;4,1;0;0;0;0
Delft;;2;1,9;3;2,9;0;0
Delfzijl;;0;0;0;0;0;0
Den Helder;;1;1,8;2;3,6;0;0
Deurne;;10;30,8;8;24,6;1;3,1
Deventer;;5;5;2;2;0;0
Diemen;;1;3,2;1;3,2;0;0
Dinkelland;;4;15,2;2;7,5;1;3,8
Doesburg;;1;9;0;0;0;0
Doetinchem;;0;0;1;1,7;0;0
Dongen;;0;0;0;0;0;0
Dordrecht;;5;4,2;6;5,1;0;0
Drechterland;;0;0;0;0;0;0
Drimmelen;;8;29,3;3;11;0;0
Dronten;;7;16,8;2;4,8;0;0
Druten;;4;21,1;3;15,9;0;0
Duiven;;2;8;0;0;0;0
Echt-Susteren;;10;31,6;9;28,5;3;9,5
Edam-Volendam;;1;2,8;1;2,7;0;0
Ede;;5;4,3;1;0,9;0;0
Eemnes;;1;10,8;0;0;0;0
Eersel;;5;25,9;4;20,7;0;0
Eijsden-Margraten;;3;11,6;-1;-3,9;0;0
Eindhoven;;19;8,1;9;3,9;0;0
Elburg;;1;4,3;1;4,3;0;0
Emmen;;2;1,9;0;0;0;0
Enkhuizen;;1;5,4;1;5,4;0;0
Enschede;;4;2,5;3;1,9;0;0
Epe;;4;12,1;1;3;0;0
Ermelo;;8;29,6;2;7,4;0;0
Etten-Leur;;8;18,2;3;6,8;0;0
Geertruidenberg;;6;27,9;3;13,9;0;0
Geldrop-Mierlo;;2;5,1;1;2,5;1;2,5
Gemert-Bakel;;27;87,9;20;65,1;2;6,5
Gennep;;3;17,7;2;11,8;1;5,9
Gilze en Rijen;;3;11,4;0;0;0;0
Goeree-Overflakkee;;9;18;1;2;0;0
Goes;;1;2,6;0;0;0;0
Goirle;;5;20,9;2;8,4;1;4,2
Gooise Meren;;3;5,2;1;1,7;0;0
Gorinchem;;0;0;0;0;0;0
Gouda;;6;8,2;2;2,7;0;0
Grave;;3;24,1;1;8;0;0
Groningen (gemeente);;11;4,7;1;0,4;0;0
Gulpen-Wittem;;2;14,1;1;7,1;0;0
Haaksbergen;;2;8,2;0;0;0;0
Haaren;;3;20,8;2;13,9;1;7
Haarlem;;7;4,3;3;1,9;0;0
Haarlemmermeer;;7;4,5;2;1,3;1;0,6
Halderberge;;2;6,6;1;3,3;0;0
Hardenberg;;0;0;2;3,3;0;0
Harderwijk;;3;6,2;0;0;1;2,1
Hardinxveld-Giessendam;;-3;-16,4;0;0;0;0
Harlingen;;1;6,4;0;0;0;0
Hattem;;0;0;0;0;0;0
Heemskerk;;3;7,7;2;5,1;0;0
Heemstede;;5;18,3;0;0;0;0
Heerde;;4;21,5;7;37,7;0;0
Heerenveen;;0;0;0;0;0;0
Heerhugowaard;;2;3,5;1;1,7;0;0
Heerlen;;11;12,7;8;9,2;2;2,3
Heeze-Leende;;3;18,6;2;12,4;0;0
Heiloo;;3;12,5;0;0;0;0
Hellendoorn;;0;0;0;0;0;0
Hellevoetsluis;;0;0;0;0;0;0
Helmond;;4;4,3;11;11,9;1;1,1
Hendrik-Ido-Ambacht;;0;0;1;3,2;0;0
Hengelo (O.);;4;4,9;1;1,2;0;0
Het Hogeland;;0;0;0;0;0;0
Heumen;;6;36,5;0;0;0;0
Heusden;;3;6,7;0;0;0;0
Hillegom;;1;4,5;1;4,5;0;0
Hilvarenbeek;;3;19,3;0;0;0;0
Hilversum;;3;3,3;1;1,1;0;0
Hoeksche Waard;;6;6,9;6;6,9;0;0
Hof van Twente;;3;8,6;1;2,9;0;0
Hollands Kroon;;1;2,1;2;4,1;0;0
Hoogeveen;;3;5,4;1;1,8;0;0
Hoorn;;4;5,5;2;2,7;0;0
Horst aan de Maas;;8;18,9;3;7;1;2,4
Houten;;-7;-13,9;0;0;0;0
Huizen;;1;2,4;0;0;0;0
Hulst;;0;0;0;0;0;0
IJsselstein;;6;17,6;3;8,8;0;0
Kaag en Braassem;;0;0;0;0;0;0
Kampen;;3;5,5;1;1,9;0;0
Kapelle;;2;15,8;1;7,9;0;0
Katwijk;;0;0;1;1,5;0;0
Kerkrade;;4;8,7;0;0;0;0
Koggenland;;2;8,8;0;0;0;0
Krimpen aan den IJssel;;2;6,8;0;0;0;0
Krimpenerwaard;;1;1,8;1;1,8;0;0
Laarbeek;;6;26,6;5;22,2;0;0
Landerd;;15;95,3;5;31,8;1;6,4
Landgraaf;;7;18,7;2;5,4;1;2,7
Landsmeer;;3;26,1;0;0;0;0
Langedijk;;3;10,6;0;0;0;0
Lansingerland;;6;9,6;4;6,4;0;0
Laren (NH.);;0;0;1;8,9;0;0
Leeuwarden;;5;4;1;0,8;1;0,8
Leiden;;9;7,2;5;4;0;0
Leiderdorp;;2;7,4;1;3,7;0;0
Leidschendam-Voorburg;;4;5,2;2;2,6;0;0
Lelystad;;9;11,4;7;8,9;0;0
Leudal;;11;30,6;6;16,7;0;0
Leusden;;4;13,2;0;0;0;0
Lingewaard;;3;6,4;0;0;0;0
Lisse;;0;0;1;4,4;0;0
Lochem;;1;3;1;3;0;0
Loon op Zand;;0;0;2;8,5;0;0
Lopik;;3;20,7;2;13,8;0;0
Loppersum;;0;0;0;0;0;0
Losser;;0;0;0;0;0;0
Maasdriel;;1;4;1;4;0;0
Maasgouw;;4;16,7;3;12,5;1;4,2
Maassluis;;2;6;0;0;0;0
Maastricht;;31;25,5;12;9,9;2;1,6
Medemblik;;0;0;0;0;0;0
Meerssen;;2;10,6;0;0;0;0
Meierijstad;;50;61,6;25;30,8;12;14,8
Meppel;;0;0;1;2,9;0;0
Middelburg (Z.);;2;4,1;2;4,1;0;0
Midden-Delfland;;1;5,2;0;0;0;0
Midden-Drenthe;;0;0;0;0;0;0
Midden-Groningen;;2;3,3;0;0;0;0
Mill en Sint Hubert;;1;9,1;1;9,1;0;0
Moerdijk;;1;2,7;1;2,7;0;0
Molenlanden;;7;15,9;3;6,8;0;0
Montferland;;1;2,8;1;2,8;0;0
Montfoort;;0;0;0;0;0;0
Mook en Middelaar;;0;0;0;0;0;0
Neder-Betuwe;;3;12,3;1;4,1;0;0
Nederweert;;7;41,1;4;23,5;0;0
Nieuwegein;;4;6,3;3;4,7;0;0
Nieuwkoop;;1;3,5;0;0;0;0
Nijkerk;;2;4,6;1;2,3;0;0
Nijmegen;;49;27,6;10;5,6;0;0
Nissewaard;;6;7;5;5,9;0;0
Noardeast-Fryslǽn;;0;0;1;2,2;0;0
Noord-Beveland;;0;0;0;0;0;0
Noordenveld;;1;3,2;1;3,2;1;3,2
Noordoostpolder;;2;4,2;0;0;0;0
Noordwijk;;1;2,3;1;2,3;0;0
Nuenen, Gerwen en Nederwetten;;1;4,3;2;8,6;0;0
Nunspeet;;4;14,4;3;10,8;1;3,6
Oegstgeest;;1;4;2;8,1;0;0
Oirschot;;1;5,3;1;5,3;0;0
Oisterwijk;;5;19;3;11,4;0;0
Oldambt;;0;0;0;0;0;0
Oldebroek;;4;16,9;2;8,5;0;0
Oldenzaal;;3;9,4;1;3,1;0;0
Olst-Wijhe;;0;0;0;0;0;0
Ommen;;3;16,7;0;0;0;0
Oost Gelre;;0;0;1;3,4;0;0
Oosterhout;;8;14,3;4;7,1;0;0
Ooststellingwerf;;0;0;0;0;0;0
Oostzaan;;2;20,5;0;0;0;0
Opmeer;;0;0;0;0;0;0
Opsterland;;0;0;0;0;0;0
Oss;;17;18,5;7;7,6;0;0
Oude IJsselstreek;;2;5,1;2;5,1;0;0
Ouder-Amstel;;3;21,4;1;7,1;0;0
Oudewater;;1;9,8;1;9,8;0;0
Overbetuwe;;10;20,9;7;14,6;0;0
Papendrecht;;1;3,1;0;0;0;0
Peel en Maas;;33;76;22;50,7;0;0
Pekela;;1;8,2;0;0;0;0
Pijnacker-Nootdorp;;6;10,9;2;3,6;0;0
Purmerend;;5;6,2;5;6,2;0;0
Putten;;2;8,3;1;4,1;0;0
Raalte;;3;8;2;5,3;0;0
Reimerswaal;;2;8,8;1;4,4;0;0
Renkum;;1;3,2;1;3,2;0;0
Renswoude;;0;0;0;0;0;0
Reusel-De Mierden;;1;7,6;2;15,3;0;0
Rheden;;3;6,8;2;4,6;0;0
Rhenen;;0;0;0;0;0;0
Ridderkerk;;-1;-2,2;1;2,2;0;0
Rijssen-Holten;;0;0;0;0;0;0
Rijswijk (ZH.);;3;5,5;3;5,5;0;0
Roerdalen;;1;4,9;1;4,9;0;0
Roermond;;7;12;3;5,2;0;0
Roosendaal;;5;6,5;1;1,3;0;0
Rotterdam;;45;6,9;15;2,3;0;0
Rozendaal;;2;117,4;1;58,7;0;0
Rucphen;;1;4,4;0;0;0;0
Schagen;;6;12,9;2;4,3;0;0
Scherpenzeel;;0;0;0;0;0;0
Schiedam;;1;1,3;1;1,2;0;0
Schiermonnikoog;;0;0;0;0;0;0
Schouwen-Duiveland;;0;0;0;0;0;0
Simpelveld;;1;9,5;1;9,5;0;0
Sint Anthonis;;5;42,9;4;34,3;0;0
Sint-Michielsgestel;;1;3,4;3;10,3;0;0
Sittard-Geleen;;30;32,5;11;11,9;4;4,3
Sliedrecht;;1;4;0;0;0;0
Sluis;;2;8,6;2;8,6;0;0
Smallingerland;;2;3,5;0;0;0;0
Soest;;-2;-4,3;0;0;0;0
Someren;;4;20,7;3;15,5;1;5,2
Son en Breugel;;3;17,4;1;5,8;2;11,5
Stadskanaal;;0;0;0;0;0;0
Staphorst;;1;5,9;0;0;0;0
Stede Broec;;1;4,6;1;4,6;0;0
Steenbergen;;2;8,2;1;4,1;1;4,1
Steenwijkerland;;1;2,3;1;2,3;0;0
Stein (L.);;3;12;2;8;0;0
Stichtse Vecht;;1;1,5;2;3,1;0;0
Sǧdwest-Fryslǽn;;2;2,2;1;1,1;0;0
Terneuzen;;3;5,5;3;5,5;0;0
Terschelling;;0;0;0;0;0;0
Texel;;0;0;1;7,4;0;0
Teylingen;;2;5,3;1;2,7;0;0
Tholen;;2;7,8;3;11,6;0;0
Tiel;;3;7,1;3;7,1;0;0
Tilburg;;64;29,1;30;13,7;7;3,2
Tubbergen;;1;4,7;0;0;0;0
Twenterand;;0;0;0;0;0;0
Tynaarlo;;3;8,9;0;0;0;0
Tytsjerksteradiel;;1;3,1;0;0;0;0
Uden;;35;83,1;18;42,7;6;14,2
Uitgeest;;0;0;0;0;0;0
Uithoorn;;1;3,4;1;3,4;0;0
Urk;;2;9,5;4;19;0;0
Utrecht (gemeente);;45;12,6;8;2,3;0;0
Utrechtse Heuvelrug;;5;10,1;0;0;0;0
Vaals;;0;0;0;0;0;0
Valkenburg aan de Geul;;3;18,3;0;0;0;0
Valkenswaard;;1;3,2;1;3,2;0;0
Veendam;;0;0;0;0;0;0
Veenendaal;;0;0;3;4,5;0;0
Veere;;0;0;0;0;0;0
Veldhoven;;2;4,4;0;0;0;0
Velsen;;6;8,7;2;2,9;0;0
Venlo;;10;9,8;13;12,8;1;1
Venray;;1;2,3;3;6,9;0;0
Vijfheerenlanden;;6;10,5;0;0;0;0
Vlaardingen;;1;1,3;2;2,7;0;0
Vlieland;;0;0;0;0;0;0
Vlissingen;;4;9;0;0;0;0
Voerendaal;;3;24;2;16;0;0
Voorschoten;;1;3,9;1;3,9;0;0
Voorst;;0;0;1;4,1;0;0
Vught;;7;26,3;3;11,3;0;0
Waadhoeke;;0;0;0;0;0;0
Waalre;;0;0;0;0;0;0
Waalwijk;;3;6,2;3;6,1;0;0
Waddinxveen;;0;0;1;3,4;0;0
Wageningen;;1;2,5;1;2,5;0;0
Wassenaar;;3;11,4;1;3,8;0;0
Waterland;;4;23;2;11,5;0;0
Weert;;0;0;6;12;0;0
Weesp;;0;0;0;0;0;0
West Betuwe;;5;9,8;1;2;0;0
West Maas en Waal;;0;0;0;0;0;0
Westerkwartier;;1;1,6;1;1,6;0;0
Westerveld;;0;0;1;5,1;0;0
Westervoort;;0;0;0;0;0;0
Westerwolde;;0;0;0;0;0;0
Westland;;6;5,4;5;4,5;0;0
Weststellingwerf;;0;0;0;0;0;0
Westvoorne;;1;6,8;0;0;0;0
Wierden;;1;4,1;0;0;0;0
Wijchen;;7;17,1;4;9,7;0;0
Wijdemeren;;1;4,1;1;4,1;0;0
Wijk bij Duurstede;;3;12,5;1;4,2;0;0
Winterswijk;;0;0;0;0;0;0
Woensdrecht;;0;0;0;0;0;0
Woerden;;2;3,8;0;0;0;0
Wormerland;;1;6,1;1;6,1;0;0
Woudenberg;;1;7,5;0;0;0;0
Zaanstad;;0;0;4;2,6;0;0
Zaltbommel;;1;3,4;-2;-6,9;0;0
Zandvoort;;2;11,7;-1;-5,8;0;0
Zeewolde;;1;4,4;0;0;0;0
Zeist;;8;12,3;0;0;0;0
Zevenaar;;3;6,9;1;2,3;0;0
Zoetermeer;;2;1,6;1;0,8;0;0
Zoeterwoude;;0;0;0;0;0;0
Zuidplas;;0;0;0;0;0;0
Zundert;;4;18,3;3;13,7;1;4,6
Zutphen;;1;2,1;1;2,1;0;0
Zwartewaterland;;6;26,4;1;4,4;0;0
Zwijndrecht;;5;11,2;3;6,7;0;0
Zwolle;;13;10;1;0,8;0;0
