Municipality_name;Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Aa en Hunze;GM1680;0;0;0;0;0;0
Aalsmeer;GM0358;6;18,8;0;0;0;0
Aalten;GM0197;0;0;0;0;0;0
Achtkarspelen;GM0059;2;7,2;0;0;0;0
Alblasserdam;GM0482;3;14,9;0;0;0;0
Albrandswaard;GM0613;10;39,1;0;0;0;0
Alkmaar;GM0361;14;12,8;0;0;0;0
Almelo;GM0141;3;4,1;0;0;0;0
Almere;GM0034;46;21,7;3;1,4;1;0,5
Alphen aan den Rijn;GM0484;10;8,9;0;0;0;0
Alphen-Chaam;GM1723;8;78,4;0;0;0;0
Altena;GM1959;12;21,4;0;0;0;0
Ameland;GM0060;0;0;0;0;0;0
Amersfoort;GM0307;18;11,4;1;0,6;0;0
Amstelveen;GM0362;34;37,1;0;0;0;0
Amsterdam;GM0363;563;64,5;10;1,1;0;0
Apeldoorn;GM0200;13;7,9;1;0,6;0;0
Appingedam;GM0003;0;0;0;0;0;0
Arnhem;GM0202;16;9,9;0;0;0;0
Assen;GM0106;0;0;0;0;0;0
Asten;GM0743;2;12;0;0;0;0
Baarle-Nassau;GM0744;2;29,2;0;0;0;0
Baarn;GM0308;3;12,1;0;0;0;0
Barendrecht;GM0489;13;26,7;0;0;0;0
Barneveld;GM0203;1;1,7;0;0;0;0
Beek (L.);GM0888;0;0;0;0;0;0
Beekdaelen;GM1954;0;0;0;0;0;0
Beemster;GM0370;3;29,9;0;0;0;0
Beesel;GM0889;0;0;0;0;0;0
Berg en Dal;GM1945;1;2,9;0;0;0;0
Bergeijk;GM1724;0;0;0;0;0;0
Bergen (L.);GM0893;0;0;0;0;0;0
Bergen (NH.);GM0373;9;30,2;0;0;0;0
Bergen op Zoom;GM0748;41;60,7;1;1,5;0;0
Berkelland;GM1859;2;4,6;0;0;0;0
Bernheze;GM1721;1;3,2;0;0;0;0
Best;GM0753;5;16,7;0;0;0;0
Beuningen;GM0209;1;3,9;0;0;0;0
Beverwijk;GM0375;2;4,8;0;0;0;0
Bladel;GM1728;1;4,9;0;0;0;0
Blaricum;GM0376;6;52;0;0;0;0
Bloemendaal;GM0377;4;17;0;0;0;0
Bodegraven-Reeuwijk;GM1901;3;8,6;0;0;0;0
Boekel;GM0755;0;0;0;0;0;0
Borger-Odoorn;GM1681;0;0;0;0;0;0
Borne;GM0147;0;0;0;0;0;0
Borsele;GM0654;1;4,4;0;0;0;0
Boxmeer;GM0756;1;3,4;0;0;0;0
Boxtel;GM0757;0;0;0;0;0;0
Breda;GM0758;112;60,8;0;0;1;0,5
Brielle;GM0501;2;11,6;0;0;0;0
Bronckhorst;GM1876;1;2,8;0;0;0;0
Brummen;GM0213;4;19,3;0;0;0;0
Brunssum;GM0899;2;7,2;0;0;0;0
Bunnik;GM0312;1;6,6;0;0;0;0
Bunschoten;GM0313;3;13,7;0;0;0;0
Buren;GM0214;0;0;0;0;0;0
Capelle aan den IJssel;GM0502;38;56,6;0;0;0;0
Castricum;GM0383;4;11,1;0;0;0;0
Coevorden;GM0109;0;0;0;0;0;0
Cranendonck;GM1706;0;0;0;0;0;0
Cuijk;GM1684;0;0;0;0;0;0
Culemborg;GM0216;2;6,9;0;0;0;0
Dalfsen;GM0148;1;3,5;0;0;0;0
Dantumadiel;GM1891;0;0;0;0;0;0
De Bilt;GM0310;5;11,6;0;0;0;0
De Fryske Marren;GM1940;4;7,8;0;0;0;0
De Ronde Venen;GM0736;4;9;0;0;0;0
De Wolden;GM1690;0;0;0;0;0;0
Delft;GM0503;24;23,2;0;0;0;0
Delfzijl;GM0010;0;0;0;0;0;0
Den Helder;GM0400;3;5,3;0;0;0;0
Deurne;GM0762;3;9,2;0;0;0;0
Deventer;GM0150;5;5;0;0;0;0
Diemen;GM0384;11;35,7;0;0;0;0
Dinkelland;GM1774;1;3,8;0;0;0;0
Doesburg;GM0221;0;0;0;0;0;0
Doetinchem;GM0222;1;1,7;0;0;0;0
Dongen;GM0766;1;3,8;0;0;0;0
Dordrecht;GM0505;27;22,6;1;0,8;0;0
Drechterland;GM0498;0;0;0;0;0;0
Drimmelen;GM1719;2;7,3;0;0;0;0
Dronten;GM0303;0;0;0;0;0;0
Druten;GM0225;0;0;0;0;0;0
Duiven;GM0226;2;8;0;0;0;0
Echt-Susteren;GM1711;0;0;0;0;0;0
Edam-Volendam;GM0385;0;0;0;0;0;0
Ede;GM0228;19;16,2;0;0;0;0
Eemnes;GM0317;1;10,8;0;0;0;0
Eersel;GM0770;0;0;0;0;0;0
Eijsden-Margraten;GM1903;4;15,5;0;0;0;0
Eindhoven;GM0772;38;16,2;1;0,4;0;0
Elburg;GM0230;0;0;0;0;0;0
Emmen;GM0114;2;1,9;0;0;0;0
Enkhuizen;GM0388;0;0;0;0;0;0
Enschede;GM0153;7;4,4;1;0,6;0;0
Epe;GM0232;0;0;0;0;0;0
Ermelo;GM0233;1;3,7;0;0;0;0
Etten-Leur;GM0777;10;22,8;1;2,3;0;0
Geertruidenberg;GM0779;6;27,8;0;0;0;0
Geldrop-Mierlo;GM1771;2;5;0;0;0;0
Gemert-Bakel;GM1652;3;9,8;0;0;0;0
Gennep;GM0907;0;0;0;0;0;0
Gilze en Rijen;GM0784;4;15,1;0;0;0;0
Goeree-Overflakkee;GM1924;3;6;0;0;0;0
Goes;GM0664;14;36,8;1;2,6;0;0
Goirle;GM0785;5;20,9;0;0;0;0
Gooise Meren;GM1942;6;10,3;0;0;0;0
Gorinchem;GM0512;27;72,9;0;0;0;0
Gouda;GM0513;51;69,5;2;2,7;0;0
Grave;GM0786;0;0;0;0;0;0
Groningen (gemeente);GM0014;24;10,3;0;0;0;0
Gulpen-Wittem;GM1729;1;7,1;0;0;0;0
Haaksbergen;GM0158;0;0;0;0;0;0
Haaren;GM0788;0;0;0;0;0;0
Haarlem;GM0392;31;19;0;0;1;0,6
Haarlemmermeer;GM0394;47;30,1;0;0;0;0
Halderberge;GM1655;7;23,1;0;0;0;0
Hardenberg;GM0160;1;1,6;0;0;0;0
Harderwijk;GM0243;1;2,1;0;0;0;0
Hardinxveld-Giessendam;GM0523;3;16,4;0;0;0;0
Harlingen;GM0072;0;0;0;0;0;0
Hattem;GM0244;0;0;0;0;0;0
Heemskerk;GM0396;0;0;0;0;0;0
Heemstede;GM0397;1;3,7;0;0;0;0
Heerde;GM0246;0;0;0;0;0;0
Heerenveen;GM0074;0;0;0;0;0;0
Heerhugowaard;GM0398;8;13,9;0;0;0;0
Heerlen;GM0917;4;4,6;0;0;0;0
Heeze-Leende;GM1658;1;6,2;0;0;0;0
Heiloo;GM0399;2;8,3;0;0;0;0
Hellendoorn;GM0163;1;2,8;0;0;0;0
Hellevoetsluis;GM0530;11;27,4;0;0;0;0
Helmond;GM0794;16;17,3;0;0;0;0
Hendrik-Ido-Ambacht;GM0531;9;28,8;0;0;0;0
Hengelo (O.);GM0164;7;8,6;0;0;0;0
Het Hogeland;GM1966;3;6,3;0;0;0;0
Heumen;GM0252;2;12,2;0;0;0;0
Heusden;GM0797;13;29,1;0;0;0;0
Hillegom;GM0534;10;45;0;0;0;0
Hilvarenbeek;GM0798;1;6,4;0;0;0;0
Hilversum;GM0402;13;14,3;0;0;0;0
Hoeksche Waard;GM1963;13;14,9;0;0;0;0
Hof van Twente;GM1735;0;0;0;0;0;0
Hollands Kroon;GM1911;1;2,1;0;0;0;0
Hoogeveen;GM0118;2;3,6;0;0;0;0
Hoorn;GM0405;16;21,8;0;0;0;0
Horst aan de Maas;GM1507;1;2,4;0;0;0;0
Houten;GM0321;14;27,9;0;0;0;0
Huizen;GM0406;11;26,7;0;0;0;0
Hulst;GM0677;4;14,5;0;0;0;0
IJsselstein;GM0353;2;5,9;0;0;0;0
Kaag en Braassem;GM1884;1;3,7;0;0;0;0
Kampen;GM0166;2;3,7;0;0;0;0
Kapelle;GM0678;2;15,8;0;0;0;0
Katwijk;GM0537;6;9,1;0;0;0;0
Kerkrade;GM0928;0;0;0;0;0;0
Koggenland;GM1598;0;0;0;0;0;0
Krimpen aan den IJssel;GM0542;7;23,7;0;0;0;0
Krimpenerwaard;GM1931;17;30,2;0;0;0;0
Laarbeek;GM1659;0;0;0;0;0;0
Landerd;GM1685;0;0;0;0;0;0
Landgraaf;GM0882;0;0;0;0;0;0
Landsmeer;GM0415;1;8,7;0;0;0;0
Langedijk;GM0416;6;21,3;0;0;0;0
Lansingerland;GM1621;20;32,1;0;0;0;0
Laren (NH.);GM0417;3;26,6;0;0;0;0
Leeuwarden;GM0080;2;1,6;0;0;0;0
Leiden;GM0546;26;20,8;0;0;0;0
Leiderdorp;GM0547;4;14,8;0;0;0;0
Leidschendam-Voorburg;GM1916;11;14,4;1;1,3;0;0
Lelystad;GM0995;1;1,3;0;0;0;0
Leudal;GM1640;0;0;0;0;0;0
Leusden;GM0327;5;16,4;0;0;0;0
Lingewaard;GM1705;0;0;0;0;0;0
Lisse;GM0553;8;34,9;0;0;0;0
Lochem;GM0262;1;3;0;0;0;0
Loon op Zand;GM0809;3;12,8;0;0;0;0
Lopik;GM0331;6;41,5;0;0;0;0
Loppersum;GM0024;0;0;0;0;0;0
Losser;GM0168;0;0;0;0;0;0
Maasdriel;GM0263;0;0;0;0;0;0
Maasgouw;GM1641;0;0;0;0;0;0
Maassluis;GM0556;13;39,1;0;0;0;0
Maastricht;GM0935;5;4,1;0;0;0;0
Medemblik;GM0420;0;0;0;0;0;0
Meerssen;GM0938;2;10,6;0;0;0;0
Meierijstad;GM1948;4;4,9;0;0;0;0
Meppel;GM0119;3;8,8;0;0;0;0
Middelburg (Z.);GM0687;16;32,8;0;0;0;0
Midden-Delfland;GM1842;4;20,7;0;0;0;0
Midden-Drenthe;GM1731;1;3;0;0;0;0
Midden-Groningen;GM1952;2;3,3;0;0;0;0
Mill en Sint Hubert;GM0815;0;0;0;0;0;0
Moerdijk;GM1709;4;10,8;0;0;0;0
Molenlanden;GM1978;3;6,8;0;0;0;0
Montferland;GM1955;2;5,6;0;0;0;0
Montfoort;GM0335;3;21,6;0;0;0;0
Mook en Middelaar;GM0944;0;0;0;0;0;0
Neder-Betuwe;GM1740;0;0;0;0;0;0
Nederweert;GM0946;0;0;0;0;0;0
Nieuwegein;GM0356;23;36,2;0;0;0;0
Nieuwkoop;GM0569;4;13,9;0;0;0;0
Nijkerk;GM0267;3;6,9;0;0;0;0
Nijmegen;GM0268;19;10,7;0;0;0;0
Nissewaard;GM1930;28;32,9;1;1,2;0;0
Noardeast-Fryslân;GM1970;2;4,4;0;0;0;0
Noord-Beveland;GM1695;2;27,1;0;0;0;0
Noordenveld;GM1699;0;0;0;0;0;0
Noordoostpolder;GM0171;2;4,2;0;0;0;0
Noordwijk;GM0575;7;16,1;0;0;0;0
Nuenen, Gerwen en Nederwetten;GM0820;0;0;0;0;0;0
Nunspeet;GM0302;1;3,6;0;0;0;0
Oegstgeest;GM0579;2;8,1;0;0;0;0
Oirschot;GM0823;2;10,7;0;0;0;0
Oisterwijk;GM0824;2;7,6;0;0;0;0
Oldambt;GM1895;0;0;0;0;0;0
Oldebroek;GM0269;5;21,1;0;0;0;0
Oldenzaal;GM0173;1;3,1;0;0;0;0
Olst-Wijhe;GM1773;1;5,5;0;0;0;0
Ommen;GM0175;1;5,6;0;0;0;0
Oost Gelre;GM1586;1;3,4;0;0;0;0
Oosterhout;GM0826;14;25;0;0;0;0
Ooststellingwerf;GM0085;0;0;0;0;0;0
Oostzaan;GM0431;5;51,4;0;0;0;0
Opmeer;GM0432;0;0;0;0;0;0
Opsterland;GM0086;0;0;0;0;0;0
Oss;GM0828;4;4,4;1;1,1;1;1,1
Oude IJsselstreek;GM1509;0;0;0;0;0;0
Ouder-Amstel;GM0437;4;28,5;0;0;0;0
Oudewater;GM0589;2;19,6;0;0;0;0
Overbetuwe;GM1734;3;6,3;0;0;0;0
Papendrecht;GM0590;4;12,4;0;0;0;0
Peel en Maas;GM1894;3;6,9;0;0;0;0
Pekela;GM0765;0;0;0;0;0;0
Pijnacker-Nootdorp;GM1926;18;32,5;0;0;0;0
Purmerend;GM0439;8;9,8;0;0;0;0
Putten;GM0273;0;0;0;0;0;0
Raalte;GM0177;1;2,7;0;0;0;0
Reimerswaal;GM0703;1;4,4;0;0;0;0
Renkum;GM0274;1;3,2;0;0;0;0
Renswoude;GM0339;0;0;0;0;0;0
Reusel-De Mierden;GM1667;0;0;0;0;0;0
Rheden;GM0275;1;2,3;0;0;0;0
Rhenen;GM0340;0;0;0;0;0;0
Ridderkerk;GM0597;22;47,6;0;0;0;0
Rijssen-Holten;GM1742;0;0;0;0;0;0
Rijswijk (ZH.);GM0603;21;38,6;1;1,8;0;0
Roerdalen;GM1669;0;0;0;0;0;0
Roermond;GM0957;7;12;0;0;0;0
Roosendaal;GM1674;31;40,1;1;1,3;0;0
Rotterdam;GM0599;796;122,2;6;0,9;1;0,2
Rozendaal;GM0277;0;0;0;0;0;0
Rucphen;GM0840;2;8,7;0;0;0;0
Schagen;GM1900;1;2,2;0;0;0;0
Scherpenzeel;GM0441;1;10,1;0;0;0;0
Schiedam;GM0279;32;40,6;0;0;0;0
Schiermonnikoog;GM0606;0;0;0;0;0;0
Schouwen-Duiveland;GM0088;3;8,9;0;0;0;0
's-Gravenhage (gemeente);GM1676;270;49,5;3;0,5;3;0,5
's-Hertogenbosch;GM0518;18;11,6;0;0;0;0
Simpelveld;GM0796;0;0;0;0;0;0
Sint Anthonis;GM0965;2;17,1;0;0;0;0
Sint-Michielsgestel;GM1702;2;6,8;0;0;0;0
Sittard-Geleen;GM0845;4;4,3;0;0;1;1,1
Sliedrecht;GM1883;5;19,8;0;0;0;0
Sluis;GM0610;1;4,3;0;0;0;0
Smallingerland;GM1714;1;1,8;0;0;0;0
Soest;GM0090;1;2,1;0;0;1;2,1
Someren;GM0342;2;10,3;0;0;0;0
Son en Breugel;GM0847;0;0;0;0;0;0
Stadskanaal;GM0848;0;0;0;0;0;0
Staphorst;GM0037;0;0;0;0;0;0
Stede Broec;GM0180;2;9,2;0;0;0;0
Steenbergen;GM0532;5;20,5;0;0;0;0
Steenwijkerland;GM0851;2;4,5;0;0;0;0
Stein (L.);GM1708;0;0;0;0;0;0
Stichtse Vecht;GM0971;10;15,4;0;0;0;0
Súdwest-Fryslân;GM1904;0;0;0;0;0;0
Terneuzen;GM0715;2;3,7;0;0;0;0
Terschelling;GM0093;0;0;0;0;0;0
Texel;GM0448;0;0;0;0;0;0
Teylingen;GM1525;6;16;0;0;0;0
Tholen;GM0716;4;15,5;0;0;0;0
Tiel;GM0281;1;2,4;0;0;0;0
Tilburg;GM0855;38;17,3;0;0;0;0
Tubbergen;GM0183;0;0;0;0;0;0
Twenterand;GM1700;0;0;0;0;0;0
Tynaarlo;GM1730;0;0;0;0;0;0
Tytsjerksteradiel;GM0737;0;0;0;0;0;0
Uden;GM0856;0;0;0;0;0;0
Uitgeest;GM0450;0;0;0;0;0;0
Uithoorn;GM0451;4;13,6;0;0;0;0
Urk;GM0184;1;4,8;1;4,8;0;0
Utrecht (gemeente);GM0344;126;35,2;2;0,6;0;0
Utrechtse Heuvelrug;GM1581;9;18,2;0;0;0;0
Vaals;GM0981;0;0;0;0;0;0
Valkenburg aan de Geul;GM0994;0;0;0;0;0;0
Valkenswaard;GM0858;6;19,2;0;0;0;0
Veendam;GM0047;0;0;0;0;0;0
Veenendaal;GM0345;1;1,5;0;0;0;0
Veere;GM0717;6;27,4;0;0;0;0
Veldhoven;GM0861;7;15,4;0;0;0;0
Velsen;GM0453;4;5,8;0;0;0;0
Venlo;GM0983;4;3,9;0;0;0;0
Venray;GM0984;3;6,9;0;0;0;0
Vijfheerenlanden;GM1961;5;8,8;0;0;0;0
Vlaardingen;GM0622;38;51,8;0;0;0;0
Vlieland;GM0096;0;0;0;0;0;0
Vlissingen;GM0718;17;38,3;0;0;0;0
Voerendaal;GM0986;1;8;0;0;0;0
Voorschoten;GM0626;4;15,6;0;0;0;0
Voorst;GM0285;0;0;0;0;0;0
Vught;GM0865;1;3,8;0;0;0;0
Waadhoeke;GM1949;0;0;0;0;0;0
Waalre;GM0866;3;17,2;0;0;0;0
Waalwijk;GM0867;6;12,3;0;0;0;0
Waddinxveen;GM0627;30;102,4;2;6,8;0;0
Wageningen;GM0289;1;2,5;0;0;0;0
Wassenaar;GM0629;4;15,2;0;0;0;0
Waterland;GM0852;0;0;0;0;0;0
Weert;GM0988;1;2;0;0;0;0
Weesp;GM0457;7;35,5;0;0;0;0
West Betuwe;GM1960;2;3,9;0;0;0;0
West Maas en Waal;GM0668;0;0;0;0;0;0
Westerkwartier;GM1969;1;1,6;0;0;0;0
Westerveld;GM1701;1;5,1;0;0;0;0
Westervoort;GM0293;0;0;0;0;0;0
Westerwolde;GM1950;1;3,9;0;0;0;0
Westland;GM1783;15;13,6;0;0;0;0
Weststellingwerf;GM0098;1;3,9;0;0;0;0
Westvoorne;GM0614;3;20,4;0;0;0;0
Wierden;GM0189;0;0;0;0;0;0
Wijchen;GM0296;0;0;0;0;0;0
Wijdemeren;GM1696;4;16,4;0;0;0;0
Wijk bij Duurstede;GM0352;1;4,2;0;0;0;0
Winterswijk;GM0294;0;0;0;0;0;0
Woensdrecht;GM0873;4;18,3;0;0;0;0
Woerden;GM0632;8;15,3;0;0;0;0
Wormerland;GM0880;2;12,3;0;0;0;0
Woudenberg;GM0351;0;0;0;0;0;0
Zaanstad;GM0479;26;16,6;3;1,9;0;0
Zaltbommel;GM0297;3;10,4;0;0;0;0
Zandvoort;GM0473;4;23,4;0;0;0;0
Zeewolde;GM0050;1;4,4;0;0;0;0
Zeist;GM0355;5;7,7;0;0;0;0
Zevenaar;GM0299;4;9,1;1;2,3;0;0
Zoetermeer;GM0637;17;13,6;0;0;0;0
Zoeterwoude;GM0638;3;34,9;0;0;0;0
Zuidplas;GM1892;5;11,4;0;0;0;0
Zundert;GM0879;6;27,5;0;0;0;0
Zutphen;GM0301;8;16,7;0;0;0;0
Zwartewaterland;GM1896;0;0;0;0;0;0
Zwijndrecht;GM0642;4;8,9;0;0;0;0
Zwolle;GM0193;4;3,1;0;0;0;0
